Stock,Bonus Symbol,Actual Quantity,Bonus Date,Bonus Percentage,Bonus Quantity,Compounded Quantity
ADBL,ADBL,45.0,"Apr 11, 2016",15.0%,6.75,51.75
ADBL,ADBL,51.75,"Mar 31, 2017",20.0%,10.35,62.1
ADBL,ADBL,62.1,"Jan 29, 2018",20.0%,12.42,74.52
ADBL,ADBL,74.52,"Feb 28, 2019",6.0%,4.47,78.99
ADBL,ADBL,78.99,"Dec 29, 2019",6.0%,4.74,83.73
ADBL,ADBL,83.73,"Dec 30, 2020",15.0%,12.56,96.29
ADBL,ADBL,96.29,"Dec 31, 2021",20.0%,19.26,115.55
ADBL,ADBL,115.55,"Mar 14, 2023",2.0%,2.31,117.86
ADBL,ADBL,117.86,"Dec 31, 2024",3.0%,3.54,121.4
ADBL,ADBL,121.4,"Nov 06, 2025",3.25%,3.95,125.34
AHPC,AHPC,27.0,"Aug 15, 2016",10%,2.7,29.7
AHPC,AHPC,29.7,"Aug 25, 2017",10%,2.97,32.67
AHPC,AHPC,32.67,"Dec 26, 2019",7%,2.29,34.96
AHPC,AHPC,34.96,"Dec 11, 2020",5%,1.75,36.7
AHPC,AHPC,36.7,"Sep 27, 2021",10%,3.67,40.38
AHPC,AHPC,40.38,"Feb 01, 2023",8%,3.23,43.61
AHPC,AHPC,43.61,"Oct 21, 2024",3%,1.31,44.91
AHPC,AHPC,44.91,"Jan 02, 2026",5%,2.25,47.16
ALICL,ALICL,35.0,"Mar 16, 2017",20.0%,7.0,42.0
ALICL,ALICL,42.0,"May 18, 2018",4.0%,1.68,43.68
ALICL,ALICL,43.68,"Aug 01, 2021",0.0%,0.0,43.68
ALICL,ALICL,43.68,"Jan 26, 2022",25.0%,10.92,54.6
ALICL,ALICL,54.6,"Sep 20, 2022",14.5%,7.92,62.52
ALICL,ALICL,62.52,"Apr 21, 2023",8.5%,5.31,67.83
ALICL,ALICL,67.83,"Feb 20, 2024",7.75%,5.26,73.09
ALICL,ALICL,73.09,"Jul 04, 2025",5.1%,3.73,76.82
CIT,CIT,21.0,"Feb 18, 2016",35.0%,7.35,28.35
CIT,CIT,28.35,"Aug 11, 2017",21.85%,6.19,34.54
CIT,CIT,34.54,"Apr 22, 2018",22.0%,7.6,42.14
CIT,CIT,42.14,"Dec 02, 2018",22.06%,9.3,51.44
CIT,CIT,51.44,"Sep 05, 2019",22.0%,11.32,62.76
CIT,CIT,62.76,"Jun 24, 2020",22.0%,13.81,76.57
CIT,CIT,76.57,"Jun 22, 2021",9.0%,6.89,83.46
CIT,CIT,83.46,"Aug 10, 2022",30.0%,25.04,108.49
CIT,CIT,108.49,"Jul 04, 2023",25.0%,27.12,135.62
CIT,CIT,135.62,"Jul 04, 2024",14.0%,18.99,154.6
CIT,CIT,154.6,"Jan 06, 2025",7.0%,10.82,165.42
CIT,CIT,165.42,"Jan 05, 2026",5.0%,8.27,173.7
CORBL,CORBL,46.0,"Feb 22, 2023",5%,2.3,48.3
CZBIL,CZBIL,34.0,"Sep 22, 2016",15.8%,5.37,39.37
CZBIL,CZBIL,39.37,"Aug 28, 2017",16.0%,6.3,45.67
