Stock,Pre_Invest_Qty,Pre_Invest_Amount,Trade_Buy_Qty,Trade_Buy_Amount,Trade_Sell_Qty,Trade_Sell_Amount,Net_Trade_Qty,Final_Qty,Total_Invested,Total_Received,Trading_PnL
ADBL,14,6244,825,271051.6,835,270903.5,-10,4,277295.6,270903.5,-148.1
AHPC,26,6578,950,280556.05,970,286410.2,-20,6,287134.05,286410.2,5854.15
AKJCL,49,6664,1040,215565.8,1085,224714.2,-45,4,222229.8,224714.2,9148.4
BARUN,28,6552,930,302989.25,955,297200,-25,3,309541.25,297200,-5789.25
CIT,1,3790,385,987390.55,385,972127.25,0,1,991180.55,972127.25,-15263.3
CZBIL,22,6512,1220,269101.9,1240,275111.15,-20,2,275613.9,275111.15,6009.25
DHPL,60,6660,985,228066.1,1045,238871.85,-60,0,234726.1,238871.85,10805.75
EBL,8,6584,720,441979.5,725,436943.95,-5,3,448563.5,436943.95,-5035.55
EDBL,16,6560,730,337080.4,745,341306.45,-15,1,343640.4,341306.45,4226.05
HPPL,26,6656,1070,394606.5,1090,415863.3,-20,6,401262.5,415863.3,21256.8
HURJA,30,6540,1120,313033.15,1150,321446.2,-30,0,319573.15,321446.2,8413.05
ICFC,21,6573,675,373327.3,695,371739.35,-20,1,379900.3,371739.35,-1587.95
JBBL,29,6583,715,234774.6,740,243846.1,-25,4,241357.6,243846.1,9071.5
JOSHI,52,6552,1055,297364.8,1105,306146.75,-50,2,303916.8,306146.75,8781.95
KKHC,58,6612,900,215681.65,945,220820.55,-45,13,222293.65,220820.55,5138.9
KSBBL,24,6576,580,240479.75,600,247622.95,-20,4,247055.75,247622.95,7143.2
LBBL,26,6422,605,246765.65,630,257081.6,-25,1,253187.65,257081.6,10315.95
LICN,2,4816,615,918076.15,610,884540.9,5,7,922892.15,884540.9,-33535.25
MEGA,22,6578,290,87380.5,310,91033.5,-20,2,93958.5,91033.5,3653
MFIL,16,6512,655,423454,670,421318.85,-15,1,429966,421318.85,-2135.15
MLBL,22,6512,720,261655.65,740,274343.3,-20,2,268167.65,274343.3,12687.65
NABIL,5,5575,865,642418.3,860,628403.25,5,10,647993.3,628403.25,-14015.05
NBB,21,6384,215,84827,230,92386.5,-15,6,91211,92386.5,7559.5
NHPC,56,6552,1120,235397.15,1175,248581.4,-55,1,241949.15,248581.4,13184.25
NICA,7,6195,830,511835.3,830,507422.65,0,7,518030.3,507422.65,-4412.65
NMB,15,6495,1045,294256.4,1060,300008.7,-15,0,300751.4,300008.7,5752.3
PCBL,14,6482,865,246541.4,860,247318.4,5,19,253023.4,247318.4,777
PROFL,36,6660,605,216728.7,640,224399.55,-35,1,223388.7,224399.55,7670.85
RLI,9,6084,295,180988,300,178111,-5,4,187072,178111,-2877
SANIMA,18,6534,640,205172.65,655,205842.3,-15,3,211706.65,205842.3,669.65
