Stock,Pre_Invest_Qty,Pre_Invest_Amount,Trade_Buy_Qty,Trade_Buy_Amount,Trade_Sell_Qty,Trade_Sell_Amount,Net_Trade_Qty,Final_Qty,Total_Invested,Total_Received,Trading_PnL
ADBL,66.0,6666.0,945,391971.0,1011,410767.4,-66,0.0,398637.0,410767.4,18796.400000000023
AHPC,74.0,6660.0,1063,424912.7,1137,446743.2,-74,0.0,431572.7,446743.2,21830.5
AKJCL,138.0,6624.0,2045,509854.2,2183,507503.3,-138,0.0,516478.2,507503.3,-2350.9000000000233
BARUN,87.0,6612.0,1301,503414.9,1388,534849.5,-87,0.0,510026.9,534849.5,31434.599999999977
CIT,15.0,6480.0,75,222810.0,90,260010.0,-15,0.0,229290.0,260010.0,37200.0
CZBIL,44.0,6600.0,2025,548631.6,2069,547201.7,-44,0.0,555231.6,547201.7,-1429.9000000000233
DHPL,141.0,6634.049999999999,2131,509491.4,2272,531842.2,-141,0.0,516125.45,531842.2,22350.79999999993
EBL,0.0,0.0,864,520538.1,864,516023.5,0,0.0,520538.1,516023.5,-4514.599999999977
EDBL,29.0,6554.0,1017,486396.8,1046,491933.3,-29,0.0,492950.8,491933.3,5536.5
HPPL,51.0,6579.0,1182,471286.4,1233,491478.3,-51,0.0,477865.4,491478.3,20191.899999999965
HURJA,76.0,6612.0,1550,533145.5,1626,548053.0,-76,0.0,539757.5,548053.0,14907.5
ICFC,66.0,6666.0,1028,574067.5,1094,595161.9,-66,0.0,580733.5,595161.9,21094.400000000023
JBBL,93.0,6603.0,1698,618147.45,1791,625956.7,-93,0.0,624750.45,625956.7,7809.25
JOSHI,144.0,6652.8,2191,552040.75,2335,583505.0,-144,0.0,558693.55,583505.0,31464.25
KKHC,147.0,6644.400000000001,2269,552793.95,2416,579643.1,-147,0.0,559438.35,579643.1,26849.150000000023
KSBBL,50.0,6550.0,1428,593367.8,1478,610353.75,-50,0.0,599917.8,610353.75,16985.949999999953
LBBL,46.0,6532.0,1492,628511.35,1538,668577.65,-46,0.0,635043.35,668577.65,40066.30000000005
LICN,0.0,0.0,285,522454.5,285,501243.0,0,0.0,522454.5,501243.0,-21211.5
MEGA,43.0,6579.0,2262,604758.6,1606,459460.3,656,699.0,611337.6,459460.3,-145298.3
MFIL,61.0,6588.0,846,545892.4,907,583319.7,-61,0.0,552480.4,583319.7,37427.29999999993
MLBL,42.0,6552.0,1284,531854.85,1326,560805.45,-42,0.0,538406.85,560805.45,28950.599999999977
NABIL,0.0,0.0,543,574768.5,543,574444.5,0,0.0,574768.5,574444.5,-324.0
NBB,65.0,6630.0,1284,508879.9,690,270970.7,594,659.0,515509.9,270970.7,-237909.2
NHPC,170.0,6630.0,1964,485925.2,2134,524719.4,-170,0.0,492555.2,524719.4,38794.20000000001
NICA,22.0,6556.0,594,477051.5,616,499905.0,-22,0.0,483607.5,499905.0,22853.5
NMB,51.0,6579.0,1523,513533.2,1574,519610.45,-51,0.0,520112.2,519610.45,6077.25
PCBL,43.0,6665.0,1270,424717.0,1313,407773.4,-43,0.0,431382.0,407773.4,-16943.599999999977
PROFL,70.0,6580.0,1173,380134.1,1243,393873.4,-70,0.0,386714.1,393873.4,13739.300000000047
RLI,17.0,6358.0,924,460203.5,776,395039.5,148,165.0,466561.5,395039.5,-65164.0
SANIMA,41.0,6560.0,1261,446231.7,1302,456178.19999999995,-41,0.0,452791.7,456178.19999999995,9946.499999999942
