Date,Cash,Total_Portfolio_Value
1/25/2021,9963,202339
1/26/2021,9963,201793
1/27/2021,9963,202590
1/28/2021,9963,198912
1/31/2021,9963,193812
2/1/2021,9963,197617
2/2/2021,9963,200574
2/3/2021,9963,200890
2/4/2021,9963,202682
2/7/2021,6093,209938
2/8/2021,46588,169312
2/9/2021,78863,177786
2/10/2021,97983,191499
2/11/2021,113258,195176
2/14/2021,81408,241572
2/15/2021,120968,173860
2/16/2021,119368,214524
2/17/2021,93958,238387
2/18/2021,115933,192216
2/21/2021,102248,229287
2/22/2021,80873,237297
2/23/2021,48168,246588
2/24/2021,11618,251378
2/25/2021,648,222826
2/28/2021,18,205167
3/1/2021,763,209343
3/2/2021,48,205422
3/3/2021,3,202462
3/4/2021,13,208439
3/7/2021,358,204676
3/9/2021,8,204985
3/10/2021,8,203392
3/14/2021,428,198435
3/15/2021,768,198641
3/16/2021,968,202526
3/17/2021,528,209627
3/18/2021,22903,189222
3/21/2021,57843,178374
3/22/2021,83543,184831
3/23/2021,84998,209033
3/24/2021,103593,192984
3/25/2021,99018,215362
3/29/2021,96903,212944
3/30/2021,93728,214618
3/31/2021,90133,216061
4/1/2021,61698,241960
4/4/2021,29608,246938
4/5/2021,19083,224782
4/6/2021,34473,203913
4/7/2021,32123,220059
4/8/2021,11803,237008
4/12/2021,20488,207423
4/13/2021,17783,218582
4/15/2021,11178,223489
4/18/2021,12053,215505
4/19/2021,143,223823
4/20/2021,668,213736
4/21/2021,28,212084
4/22/2021,353,211036
4/25/2021,593,205146
4/26/2021,593,199593
4/27/2021,308,209167
4/28/2021,13,207563
4/29/2021,768,208928
5/2/2021,24903,189247
5/3/2021,40043,197448
5/4/2021,59048,193866
5/5/2021,59858,213193
5/6/2021,29978,244179
5/9/2021,2533,241015
5/10/2021,1783,215388
5/11/2021,8348,210017
5/12/2021,10073,214924
5/13/2021,11843,216262
5/16/2021,46913,187395
5/17/2021,80243,189975
5/18/2021,108103,196482
5/19/2021,131548,200534
5/20/2021,145718,210245
5/23/2021,158458,214038
5/24/2021,155698,229140
5/25/2021,181763,200577
5/27/2021,133218,275536
5/30/2021,88583,272247
5/31/2021,36743,277341
6/1/2021,1673,259587
6/2/2021,793,228748
6/3/2021,24588,205886
6/6/2021,59153,198526
6/7/2021,89413,203852
6/8/2021,124753,201772
6/9/2021,149693,212729
6/10/2021,149838,239270
6/13/2021,147533,244651
6/14/2021,160408,232210
6/15/2021,163203,241425
6/16/2021,136408,268740
6/17/2021,102658,276264
6/20/2021,22073,320701
6/21/2021,833,255024
6/22/2021,3293,240088
6/23/2021,938,239600
6/24/2021,908,236001
6/27/2021,923,238069
6/28/2021,7018,230784
6/29/2021,933,238190
6/30/2021,938,232988
7/1/2021,4433,231583
7/4/2021,858,237533
7/5/2021,858,231698
7/6/2021,983,230992
7/7/2021,1233,229465
7/8/2021,3488,230148
7/11/2021,57208,189966
7/12/2021,92503,204930
7/13/2021,99738,235337
7/14/2021,138933,205379
7/15/2021,170753,212771
7/18/2021,185655,233210.4
7/19/2021,194895,239990.4
7/20/2021,204228,240257.6
7/22/2021,211108,242796.1
7/25/2021,202837,258728.8
7/26/2021,194622,258397.1
7/27/2021,191182,254474.3
7/28/2021,187789.5,254651
7/29/2021,177008,262476.1
8/1/2021,132056,297048.7
8/2/2021,109494.5,274723.7
8/3/2021,99221,263246.7
8/4/2021,90700,262224.9
8/5/2021,58774,285771.3
8/8/2021,21123.5,291587.5
8/9/2021,3967,271240.4
8/10/2021,43663,221112.7
8/11/2021,34717.5,268188
8/12/2021,18349.5,277308.4
8/15/2021,2424,273342
8/16/2021,189.5,259909
8/17/2021,459.5,257701.6
8/18/2021,2455.5,259565
8/19/2021,1179.5,262038.6
8/24/2021,254,258009.4
8/25/2021,254,253397.4
8/26/2021,193.5,253283.8
8/29/2021,523.5,249481.8
8/31/2021,523.5,244603.8
9/1/2021,523.5,247157.1
9/2/2021,523.5,242021.6
9/5/2021,523.5,234366.6
9/6/2021,475.5,246112.3
9/7/2021,475.5,241357.7
9/8/2021,475.5,235294.4
9/9/2021,891.5,236001.3
9/12/2021,4686,237993.1
9/13/2021,12471.5,235533.2
9/14/2021,3546,250108.9
9/15/2021,816,240721.5
9/16/2021,816,231312.6
9/20/2021,816,218844.1
9/21/2021,816,220850.2
9/22/2021,2935,228589.8
9/23/2021,8465.5,227104.8
9/26/2021,1096,234461
9/27/2021,170.5,219341.3
9/28/2021,179.5,210361.3
9/29/2021,814.5,214968.6
9/30/2021,814.5,211462
10/3/2021,814.5,205262.2
10/4/2021,814.5,202850.6
10/5/2021,1400,206351.3
10/6/2021,1061.5,215135.5
10/10/2021,261.5,214639.6
10/11/2021,1832,209713.4
10/17/2021,2614.5,211803.4
10/18/2021,799.5,208366.9
10/19/2021,799.5,197710.5
10/20/2021,1588.5,203415.8
10/21/2021,1233.5,202486.2
10/24/2021,668.5,206401.5
10/25/2021,31043,186082.4
10/26/2021,63759,190712.2
10/27/2021,87763.5,200162.3
10/28/2021,100871,212756.9
10/31/2021,121030.5,209451.7
11/1/2021,130522,218477.9
11/2/2021,130204,228844.8
11/3/2021,130370.5,228111.7
11/8/2021,115837,242239.8
11/9/2021,44876,295323.3
11/11/2021,1370.5,263189.9
11/14/2021,1370.5,219772.5
11/15/2021,1370.5,222501.4
11/16/2021,15398.5,215537.5
11/17/2021,5311,240004.9
11/18/2021,504.5,231542.4
11/21/2021,554.5,224935.2
11/22/2021,67.5,225667.4
11/23/2021,1887.5,218978
11/24/2021,520,222859
11/25/2021,520,220781.2
11/28/2021,795,214911.5
11/29/2021,795,212883
11/30/2021,855,213264.2
12/1/2021,855,213431.1
12/2/2021,855,209909.5
12/5/2021,855,201666.1
12/6/2021,75.5,205563
12/7/2021,1005.5,200126.6
12/8/2021,1005.5,195552.6
12/9/2021,1005.5,193870.4
12/12/2021,1005.5,186093.1
12/13/2021,1005.5,179720.7
12/14/2021,1269,190931.4
12/15/2021,419.5,192232.3
12/16/2021,807.5,187449.1
12/20/2021,662.5,186550.8
12/21/2021,3870.5,188022.3
12/22/2021,45790.5,156665.3
12/23/2021,67479,176788.2
12/26/2021,79212,187711.8
12/27/2021,63526,211900.4
12/28/2021,37627,221406.5
12/29/2021,2615,229932.3
1/2/2022,4792,181624.5
1/3/2022,3936.5,186794.6
1/4/2022,7985,187722.8
1/5/2022,11206.5,187284.6
1/6/2022,13571,190353.3
1/9/2022,20178.5,192780.7
1/10/2022,24954.5,198108.5
1/11/2022,31221,202058.9
1/12/2022,41107,195635.3
1/13/2022,49289,197041.6
1/16/2022,69379,191640.2
1/17/2022,87871.5,194636.5
1/18/2022,101641.5,197933.5
1/19/2022,91450,220081.2
1/20/2022,126338.5,177227.3
1/23/2022,98915.5,238175.5
1/24/2022,18399.5,286591.4
1/25/2022,789,223051.6
1/26/2022,789,201472.9
1/27/2022,789,201557.9
1/30/2022,32851,179967.8
1/31/2022,806.5,241528.6
2/1/2022,18068.5,193984.7
2/3/2022,10351.5,218013.4
2/6/2022,1206.5,216497
2/7/2022,1497.5,206163.5
2/8/2022,37.5,207363.1
2/9/2022,37.5,204276.2
2/10/2022,37.5,203208.6
2/13/2022,37.5,197470.8
2/14/2022,37.5,197006.6
2/15/2022,37.5,199157.5
2/16/2022,37.5,198635.4
2/17/2022,37.5,198432.3
2/20/2022,37.5,195556.5
2/21/2022,402.5,197078.8
2/22/2022,832,198940.3
2/23/2022,1192,197590.6
2/24/2022,1192,193785.5
2/27/2022,1192,192831.2
2/28/2022,1192,190386.1
3/2/2022,1192,185520.7
3/6/2022,1192,186188
3/7/2022,1192,186028.8
3/9/2022,1192,183541.3
3/10/2022,187,187589.8
3/13/2022,25032.5,170517.4
3/14/2022,44145,176232.6
3/15/2022,59953.5,178810.9
3/16/2022,57230.5,195866.4
3/20/2022,55716.5,194111.4
3/21/2022,91312.5,159718
3/22/2022,114544,172435.1
3/23/2022,91091,218211.4
3/24/2022,28322.5,256703.2
3/27/2022,183.5,219599.5
3/28/2022,183.5,188888.1
3/29/2022,183.5,187575.8
3/30/2022,183.5,190637.9
3/31/2022,183.5,187916.3
4/3/2022,183.5,185314.4
4/4/2022,183.5,184032.4
4/5/2022,183.5,180727.6
4/6/2022,183.5,177882.9
4/7/2022,398.5,179768.3
4/11/2022,398.5,176297.1
4/12/2022,398.5,173239.8
4/13/2022,849.5,174560.9
4/17/2022,849.5,172326.4
4/18/2022,159.5,170354
4/19/2022,919.5,168707.2
4/20/2022,910,165956.4
4/21/2022,850,166240.5
4/24/2022,23958.5,152233.6
4/25/2022,36069.5,161500.6
4/26/2022,1477.5,206757.8
4/27/2022,632.5,173858.8
4/28/2022,272.5,171670
5/2/2022,272.5,167182.8
5/4/2022,272.5,163870.5
5/5/2022,272.5,161003.9
5/8/2022,1082.5,161948.5
5/9/2022,1082.5,162349
5/10/2022,1564,164388
5/11/2022,35766.5,135272.8
5/12/2022,39661.5,164360
5/17/2022,110,202780.4
5/18/2022,1359.5,163229.4
5/19/2022,149.5,163089.5
5/20/2022,149.5,160328.4
5/23/2022,149.5,156266.5
5/24/2022,149.5,158282.6
5/25/2022,149.5,158854.3
5/26/2022,21.5,159692.5
5/27/2022,1271.5,156773.9
5/30/2022,141.5,153703
5/31/2022,141.5,152283.4
6/1/2022,141.5,150145.3
6/2/2022,141.5,147944.6
6/3/2022,141.5,144946.1
6/6/2022,141.5,143837.3
6/7/2022,141.5,141216.8
6/8/2022,292,145713.7
6/9/2022,345.5,145670.1
6/10/2022,450.5,143886.2
6/13/2022,450.5,141805.3
6/14/2022,450.5,139326.3
6/15/2022,450.5,134909.4
6/16/2022,450.5,135204.9
6/17/2022,485.5,134357.6
6/19/2022,485.5,132264.8
6/20/2022,485.5,128593.5
6/21/2022,69.5,134002.4
