Date,Cash,Total_Portfolio_Value
2021-01-25,1248.750000000011,560053.75
2021-01-26,1248.750000000011,539669.75
2021-01-27,1248.750000000011,541000.75
2021-01-28,1248.750000000011,532009.75
2021-01-29,1248.750000000011,532009.75
2021-01-30,1248.750000000011,532009.75
2021-01-31,1203.750000000011,518274.75
2021-02-01,1203.750000000011,527807.75
2021-02-02,1203.750000000011,535628.75
2021-02-03,562.7500000000109,537993.75
2021-02-04,632.7500000000109,542989.75
2021-02-05,632.7500000000109,543059.75
2021-02-06,632.7500000000109,543059.75
2021-02-07,614.7500000000109,555544.75
2021-02-08,76.75000000001091,568298.75
2021-02-09,241.7500000000109,566139.75
2021-02-10,241.7500000000109,568452.75
2021-02-11,241.7500000000109,567641.75
2021-02-12,241.7500000000109,567641.75
2021-02-13,241.7500000000109,567641.75
2021-02-14,241.7500000000109,560208.75
2021-02-15,241.7500000000109,575410.75
2021-02-16,1023.7500000000146,575981.75
2021-02-17,1023.7500000000146,578714.75
2021-02-18,234.75000000001455,586868.75
2021-02-19,234.75000000001455,586079.75
2021-02-20,234.75000000001455,586079.75
2021-02-21,369.75000000001455,592214.75
2021-02-22,1346.7500000000146,586852.75
2021-02-23,416.75000000001455,584840.75
2021-02-24,416.75000000001455,585842.75
2021-02-25,1326.7500000000146,577403.75
2021-02-26,1326.7500000000146,578313.75
2021-02-27,1326.7500000000146,578313.75
2021-02-28,2818.7500000000146,558570.75
2021-03-01,628.7500000000146,568697.75
2021-03-02,293.75000000001455,551204.75
2021-03-03,1026.7500000000146,545120.75
2021-03-04,2308.7500000000146,564179.75
2021-03-05,133.75000000001455,567636.75
2021-03-06,133.75000000001455,565461.75
2021-03-07,1795.7500000000146,562882.75
2021-03-08,70.75000000001455,566269.75
2021-03-09,1040.7500000000146,560785.75
2021-03-10,1040.7500000000146,560031.75
2021-03-11,1040.7500000000146,560031.75
2021-03-12,1040.7500000000146,560031.75
2021-03-13,1040.7500000000146,560031.75
2021-03-14,17566.750000000015,532347.75
2021-03-15,6330.750000000015,558477.75
2021-03-16,2271.7500000000146,555008.75
2021-03-17,1895.7500000000146,564090.75
