Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount
ADBL,1/24/2021,446,4,6244
AHPC,1/24/2021,253,6,6578
AKJCL,1/24/2021,136,4,6664
BARUN,1/24/2021,234,3,6552
CIT,1/24/2021,3790,1,3790
CZBIL,1/24/2021,296,2,6512
DHPL,1/24/2021,111,0,6660
EBL,1/24/2021,823,3,6584
EDBL,1/24/2021,410,1,6560
HPPL,1/24/2021,256,6,6656
HURJA,1/24/2021,218,0,6540
ICFC,1/24/2021,313,1,6573
JBBL,1/24/2021,227,4,6583
JOSHI,1/24/2021,126,2,6552
KKHC,1/24/2021,114,13,6612
KSBBL,1/24/2021,274,4,6576
LBBL,1/24/2021,247,1,6422
LICN,1/24/2021,2408,7,4816
MEGA,1/24/2021,299,2,6578
MFIL,1/24/2021,407,1,6512
MLBL,1/24/2021,296,2,6512
NABIL,1/24/2021,1115,10,5575
NBB,1/24/2021,304,6,6384
NHPC,1/24/2021,117,1,6552
NICA,1/24/2021,885,7,6195
NMB,1/24/2021,433,0,6495
PCBL,1/24/2021,463,19,6482
PROFL,1/24/2021,185,1,6660
RLI,1/24/2021,676,4,6084
SANIMA,1/24/2021,363,3,6534
