Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount,Current_Qty,Current_Price,Current_Value
ADBL,3/5/2019,292,24,7008,0,307.5,0
AHPC,12/29/2019,90,44,3960,0,279,0
AKJCL,7/23/2020,48,71,3408,0,268.4,0
BARUN,12/9/2019,76,50,3800,0,375,0
CIT,11/28/2019,1685,16,26960,0,1796.9,0
CZBIL,6/29/2020,173,30,5190,476,203,96628
DHPL,7/23/2020,47.05,72,3387.6,0,314.9,0
EBL,2/17/2019,504,20,10080,0,674,0
EDBL,11/13/2019,259,25,6475,0,635,0
HPPL,5/13/2020,129,35,4515,0,485,0
HURJA,7/6/2020,87,46,4002,0,246,0
ICFC,3/3/2019,145,33,4785,162,702.9,113869.8
JBBL,3/5/2019,133,35,4655,0,369.9,0
JOSHI,7/23/2020,46.2,73,3372.6,0,313,0
KKHC,7/21/2020,45.2,74,3344.8,0,239,0
KSBBL,11/28/2019,131,35,4585,0,481.9,0
LBBL,11/26/2019,167,31,5177,192,523,100416
LICN,12/2/2019,913,17,15521,0,888,0
MEGA,3/5/2019,156,32,4992,0,219,0
MFIL,2/27/2019,111,39,4329,0,839,0
MLBL,2/24/2019,156,32,4992,0,392,0
NABIL,5/13/2020,660,19,12540,0,497.2,0
NBB,2/4/2019,178,30,5340,355,400,142000
NHPC,7/2/2020,49,70,3430,26,220.9,5743.4
NICA,2/24/2019,370,22,8140,0,351.2,0
NMB,2/21/2019,301,23,6923,0,246.4,0
PCBL,7/2/2020,229,26,5954,0,246.2,0
PROFL,11/17/2019,94,43,4042,0,510,0
RLI,9/9/2020,374,22,8228,0,387,0
SANIMA,2/24/2019,290,24,6960,318,343.9,109360.2
TOTAL,-,7938.45,1113,196096,1529,13755.2,568017.4
