Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount
ADBL,1/24/2021,446,14,6244
AHPC,1/24/2021,253,26,6578
AKJCL,1/24/2021,136,49,6664
BARUN,1/24/2021,234,28,6552
CIT,1/24/2021,3790,1,3790
CZBIL,1/24/2021,296,22,6512
DHPL,1/24/2021,111,60,6660
EBL,1/24/2021,823,8,6584
EDBL,1/24/2021,410,16,6560
HPPL,1/24/2021,256,26,6656
HURJA,1/24/2021,218,30,6540
ICFC,1/24/2021,313,21,6573
JBBL,1/24/2021,227,29,6583
JOSHI,1/24/2021,126,52,6552
KKHC,1/24/2021,114,58,6612
KSBBL,1/24/2021,274,24,6576
LBBL,1/24/2021,247,26,6422
LICN,1/24/2021,2408,2,4816
MEGA,1/24/2021,299,22,6578
MFIL,1/24/2021,407,16,6512
MLBL,1/24/2021,296,22,6512
NABIL,1/24/2021,1115,5,5575
NBB,1/24/2021,304,21,6384
NHPC,1/24/2021,117,56,6552
NICA,1/24/2021,885,7,6195
NMB,1/24/2021,433,15,6495
PCBL,1/24/2021,463,14,6482
PROFL,1/24/2021,185,36,6660
RLI,1/24/2021,676,9,6084
SANIMA,1/24/2021,363,18,6534
