Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount
ADBL,2012-03-20,101.0,66,6666.0
AHPC,2019-12-29,90.0,74,6660.0
AKJCL,2020-07-23,48.0,138,6624.0
BARUN,2019-12-09,76.0,87,6612.0
CIT,2011-08-10,432.0,15,6480.0
CZBIL,2011-06-12,150.0,44,6600.0
DHPL,2020-07-23,47.05,141,6634.049999999999
EDBL,2013-07-14,226.0,29,6554.0
HPPL,2020-05-13,129.0,51,6579.0
HURJA,2020-07-06,87.0,76,6612.0
ICFC,2012-01-01,101.0,66,6666.0
JBBL,2013-05-26,71.0,93,6603.0
JOSHI,2020-07-23,46.2,144,6652.8
KKHC,2020-07-21,45.2,147,6644.400000000001
KSBBL,2018-12-05,131.0,50,6550.0
LBBL,2018-03-27,142.0,46,6532.0
MEGA,2018-07-01,153.0,43,6579.0
MFIL,2013-09-16,108.0,61,6588.0
MLBL,2019-02-24,156.0,42,6552.0
NBB,2011-06-12,102.0,65,6630.0
NHPC,2011-06-14,39.0,170,6630.0
NICA,2018-03-26,298.0,22,6556.0
NMB,2011-06-15,129.0,51,6579.0
PCBL,2011-06-13,155.0,43,6665.0
PROFL,2019-11-17,94.0,70,6580.0
RLI,2020-09-09,374.0,17,6358.0
SANIMA,2012-04-12,160.0,41,6560.0
