Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount,Current_Qty,Current_Price,Current_Value
ADBL,2019-03-05,292.0,24,7008.0,0,307.5,0.0
AHPC,2019-12-29,90.0,44,3960.0,0,279.0,0.0
AKJCL,2020-07-23,48.0,71,3408.0,0,268.4,0.0
BARUN,2019-12-09,76.0,50,3800.0,0,375.0,0.0
CIT,2019-11-28,1685.0,16,26960.0,57,1796.9,102423.3
CZBIL,2020-06-29,173.0,30,5190.0,0,203.0,0.0
DHPL,2020-07-23,47.05,72,3387.6,0,314.9,0.0
EBL,2019-02-17,504.0,20,10080.0,0,674.0,0.0
EDBL,2019-11-13,259.0,25,6475.0,0,635.0,0.0
HPPL,2020-05-13,129.0,35,4515.0,0,485.0,0.0
HURJA,2020-07-06,87.0,46,4002.0,0,246.0,0.0
ICFC,2019-03-03,145.0,33,4785.0,0,702.9,0.0
JBBL,2019-03-05,133.0,35,4655.0,26,369.9,9617.4
JOSHI,2020-07-23,46.2,73,3372.6000000000004,0,313.0,0.0
KKHC,2020-07-21,45.2,74,3344.8,0,239.0,0.0
KSBBL,2019-11-28,131.0,35,4585.0,0,481.9,0.0
LBBL,2019-11-26,167.0,31,5177.0,0,523.0,0.0
LICN,2019-12-02,913.0,17,15521.0,0,888.0,0.0
MEGA,2019-03-05,156.0,32,4992.0,0,219.0,0.0
MFIL,2019-02-27,111.0,39,4329.0,140,839.0,117460.0
MLBL,2019-02-24,156.0,32,4992.0,286,392.0,112112.0
NABIL,2020-05-13,660.0,19,12540.0,0,497.2,0.0
NBB,2019-02-04,178.0,30,5340.0,358,400.0,143200.0
NHPC,2020-07-02,49.0,70,3430.0,0,220.9,0.0
NICA,2019-02-24,370.0,22,8140.0,297,351.2,104306.4
NMB,2019-02-21,301.0,23,6923.0,0,246.4,0.0
PCBL,2020-07-02,229.0,26,5954.0,0,246.2,0.0
PROFL,2019-11-17,94.0,43,4042.0,0,510.0,0.0
RLI,2020-09-09,374.0,22,8228.0,0,387.0,0.0
SANIMA,2019-02-24,290.0,24,6960.0,0,343.9,0.0
