Stock,Initial_Buy_Date,Initial_Qty,Initial_Price,Initial_Value,Jan 21 2026 Qty,Jan 21 2026 Price,Jan 21 2026 Value,Investment Quantity(22 jan 2016-21 jan 2026),Investment Price (21 jan 2026),Investment Value (21 jan 2026),Compounded Quantity,Compounded Price (21 jan 2026),Compounded Value (21 Jan 2026)
ADBL,"Mar 20, 2012",45,101.0,4545.0,269,306.9,82556.1,45.0,306.9,13810.5,125.0,306.9,38362.5
AHPC,"Nov 29, 2015",27,253.0,6831.0,0,266.7,0.0,27.0,266.7,7200.9,47.0,266.7,12534.9
ALICL,"Jan 31, 2012",35,148.0,5180.0,168,487.7,81933.6,35.0,487.7,17069.5,76.0,487.7,37065.2
BFC,"Mar 14, 2012",25,294.0,7350.0,0,484.0,0.0,25.0,484.0,12100.0,25.0,484.0,12100.0
CIT,"Jan 01, 2012",21,489.0,10269.0,40,1776.9,71076.0,21.0,1776.9,37314.9,173.0,1776.9,307403.7
CORBL,"Jan 08, 2014",46,97.0,4462.0,0,1614.0,0.0,46.0,1614.0,74244.0,48.0,1614.0,77472.0
CZBIL,"Mar 26, 2012",34,159.0,5406.0,399,198.0,79002.0,34.0,198.0,6732.0,64.0,198.0,12672.0
EBL,"Mar 19, 2012",19,665.0,12635.0,121,673.0,81433.0,19.0,673.0,12787.0,72.0,673.0,48456.0
EDBL,"Jul 14, 2013",28,226.0,6328.0,134,608.0,81472.0,28.0,608.0,17024.0,81.0,608.0,49248.0
GBIME,"Oct 01, 2012",27,243.0,6561.0,347,228.9,79428.3,27.0,228.9,6180.3,62.0,228.9,14191.8
GMFIL,"Mar 26, 2014",33,167.0,5511.0,150,478.0,71700.0,33.0,478.0,15774.0,54.0,478.0,25812.0
ICFC,"Jan 01, 2012",45,101.0,4545.0,125,691.0,86375.0,45.0,691.0,31095.0,85.0,691.0,58735.0
JBBL,"May 26, 2013",57,71.0,4047.0,246,354.0,87084.0,57.0,354.0,20178.0,99.0,354.0,35046.0
JFL,"Feb 12, 2012",31,188.0,5828.0,187,451.0,84337.0,31.0,451.0,13981.0,68.0,451.0,30668.0
KBL,"Mar 27, 2012",33,163.0,5379.0,0,185.9,0.0,33.0,185.9,6134.7,63.0,185.9,11711.7
LICN,"Jan 04, 2012",21,481.0,10101.0,0,870.2,0.0,21.0,870.2,18274.2,71.0,870.2,61784.2
MBL,"Sep 20, 2012",41,117.0,4797.0,363,230.0,83490.0,41.0,230.0,9430.0,93.0,230.0,21390.0
MEGA,"Oct 08, 2013",31,180.0,5580.0,0,195.0,0.0,34.44,195.0,6716.67,54.0,195.0,10530.0
MFIL,"Sep 16, 2013",43,108.0,4644.0,133,820.0,109060.0,43.0,820.0,35260.0,87.0,820.0,71340.0
NABBC,"Nov 28, 2013",22,427.0,9394.0,69,1538.0,106122.0,22.0,1538.0,33836.0,22.0,1538.0,33836.0
NABIL,"Feb 06, 2012",18,824.0,14832.0,0,496.1,0.0,18.0,496.1,8929.8,80.0,496.1,39688.0
NBB,"Mar 28, 2012",44,103.0,4532.0,0,496.1,0.0,18.92,496.1,9386.21,41.0,496.1,20340.1
NHPC,"Apr 08, 2012",91,40.0,3640.0,318,205.1,65221.8,91.0,205.1,18664.1,107.0,205.1,21945.7
NICA,"May 27, 2015",20,529.0,10580.0,235,342.0,80370.0,20.0,342.0,6840.0,56.0,342.0,19152.0
NMB,"Mar 27, 2012",35,146.0,5110.0,0,242.5,0.0,35.0,242.5,8487.5,91.0,242.5,22067.5
PCBL,"Apr 01, 2012",34,160.0,5440.0,0,246.4,0.0,34.0,246.4,8377.6,102.0,246.4,25132.8
PFL,"Jul 17, 2013",48,91.0,4368.0,0,377.0,0.0,48.0,377.0,18096.0,78.0,377.0,29406.0
PROFL,"Jul 15, 2014",42,109.0,4578.0,169,482.9,81610.1,42.0,482.9,20281.8,44.0,482.9,21247.6
SANIMA,"Apr 12, 2012",34,160.0,5440.0,257,344.0,88408.0,34.0,344.0,11696.0,76.0,344.0,26144.0
SBI,"Jan 26, 2012",22,400.0,8800.0,197,415.1,81774.7,22.0,415.1,9132.2,45.0,415.1,18679.5
NIBL,-,0,0.0,0.0,413,195.0,80535.0,0.0,195.0,0.0,0.0,195.0,0.0
CASH,-,0,0.0,0.0,0,0.0,68.04,0.0,0.0,3287.0,0.0,0.0,3287.0
TOTAL,-,1052,7240.0,196713.0,4340,16299.4,1663056.64,1030.36,16299.4,518320.88,2189.0,16299.4,1217449.2
