Date,Portfolio Value
1/31/2021,191858.5951
2/28/2021,207525.0763
3/31/2021,214300.7896
4/30/2021,221460.5472
5/31/2021,287870.9904
6/30/2021,317859.2918
7/31/2021,384823.3781
8/31/2021,422914.5003
9/30/2021,340397.7906
10/31/2021,382927.9041
11/30/2021,347965.2779
12/31/2021,298138.9336
1/31/2022,324728.9723
2/28/2022,299671.8409
3/31/2022,279037.9268
4/30/2022,249025.353
5/31/2022,227111.858
6/30/2022,211701.5949
7/31/2022,230563.5914
8/31/2022,196954.4908
9/30/2022,177489.6433
10/31/2022,176056.7501
11/30/2022,190650.9429
12/31/2022,202898.277
1/31/2023,219088.0732
2/28/2023,214202.7554
3/31/2023,200664.9264
4/30/2023,191515.2604
5/31/2023,185238.1368
6/30/2023,208518.1133
7/31/2023,200162.9846
8/31/2023,178550.7496
9/30/2023,186813.57
10/31/2023,168803.0453
11/30/2023,166410.6634
12/31/2023,186238.2657
1/31/2024,198307.0906
2/29/2024,191561.6228
3/31/2024,194511.7055
4/30/2024,198439.9079
5/31/2024,192770.8328
6/30/2024,196495.7296
7/31/2024,259970.5846
8/31/2024,267212.5224
9/30/2024,233994.4824
10/31/2024,257882.3094
11/30/2024,268358.2024
12/31/2024,248954.8188
1/31/2025,261149.7287
2/28/2025,275271.1175
3/31/2025,265217.4535
4/30/2025,254293.0015
5/31/2025,258016.0505
6/30/2025,248387.8788
7/31/2025,266616.0247
8/31/2025,246588.6248
9/30/2025,241360.6901
10/31/2025,236744.3046
11/30/2025,234572.9386
12/31/2025,230389.1888
1/31/2026,254020.1067
