Stock,Quantity,Buy_Price,Initial_Value,Price_Jan_24,Current_Value
ADBL,24,292.0,7008.0,446.0,10704.0
AHPC,44,90.0,3960.0,253.0,11132.0
AKJCL,71,48.0,3408.0,136.0,9656.0
BARUN,50,76.0,3800.0,234.0,11700.0
CIT,16,1685.0,26960.0,3790.0,60640.0
CZBIL,30,173.0,5190.0,296.0,8880.0
DHPL,72,47.05,3387.6,111.0,7992.0
EBL,20,504.0,10080.0,823.0,16460.0
EDBL,25,259.0,6475.0,410.0,10250.0
HPPL,35,129.0,4515.0,256.0,8960.0
HURJA,46,87.0,4002.0,218.0,10028.0
ICFC,33,145.0,4785.0,313.0,10329.0
JBBL,35,133.0,4655.0,227.0,7945.0
JOSHI,73,46.2,3372.6000000000004,126.0,9198.0
KKHC,74,45.2,3344.8,114.0,8436.0
KSBBL,35,131.0,4585.0,274.0,9590.0
LBBL,31,167.0,5177.0,247.0,7657.0
LICN,17,913.0,15521.0,2408.0,40936.0
MEGA,32,156.0,4992.0,299.0,9568.0
MFIL,39,111.0,4329.0,407.0,15873.0
MLBL,32,156.0,4992.0,296.0,9472.0
NABIL,19,660.0,12540.0,1115.0,21185.0
NBB,30,178.0,5340.0,304.0,9120.0
NHPC,70,49.0,3430.0,117.0,8190.0
NICA,22,370.0,8140.0,885.0,19470.0
NMB,23,301.0,6923.0,433.0,9959.0
PCBL,26,229.0,5954.0,463.0,12038.0
PROFL,43,94.0,4042.0,185.0,7955.0
RLI,22,374.0,8228.0,676.0,14872.0
SANIMA,24,290.0,6960.0,363.0,8712.0
TOTAL,1113,,196096.0,,406907.0
