Stock,Buy_Date,Buy_Price,Quantity,Invested_Amount,Last_Price,Market_Value,Profit_Loss
ADBL,1/24/2021,446,4,6244,307.5,1230,-5014
AHPC,1/24/2021,253,6,6578,279,1674,-4904
AKJCL,1/24/2021,136,4,6664,268.4,1073.6,-5590.4
BARUN,1/24/2021,234,3,6552,375,1125,-5427
CIT,1/24/2021,3790,1,3790,1796.9,1796.9,-1993.1
CZBIL,1/24/2021,296,2,6512,203,406,-6106
DHPL,1/24/2021,111,0,6660,314.9,0,-6660
EBL,1/24/2021,823,3,6584,674,2022,-4562
EDBL,1/24/2021,410,1,6560,635,635,-5925
HPPL,1/24/2021,256,6,6656,485,2910,-3746
HURJA,1/24/2021,218,0,6540,246,0,-6540
ICFC,1/24/2021,313,1,6573,702.9,702.9,-5870.1
JBBL,1/24/2021,227,4,6583,369.9,1479.6,-5103.4
JOSHI,1/24/2021,126,2,6552,313,626,-5926
KKHC,1/24/2021,114,13,6612,239,3107,-3505
KSBBL,1/24/2021,274,4,6576,481.9,1927.6,-4648.4
LBBL,1/24/2021,247,1,6422,523,523,-5899
LICN,1/24/2021,2408,7,4816,888,6216,1400
MEGA,1/24/2021,299,2,6578,219,438,-6140
MFIL,1/24/2021,407,1,6512,839,839,-5673
MLBL,1/24/2021,296,2,6512,392,784,-5728
NABIL,1/24/2021,1115,10,5575,497.2,4972,-603
NBB,1/24/2021,304,6,6384,400,2400,-3984
NHPC,1/24/2021,117,1,6552,220.9,220.9,-6331.1
NICA,1/24/2021,885,7,6195,351.2,2458.4,-3736.6
NMB,1/24/2021,433,0,6495,246.4,0,-6495
PCBL,1/24/2021,463,19,6482,246.2,4677.8,-1804.2
PROFL,1/24/2021,185,1,6660,510,510,-6150
RLI,1/24/2021,676,4,6084,387,1548,-4536
SANIMA,1/24/2021,363,3,6534,343.9,1031.7,-5502.3
