Stock,Quantity,Last_Price,Market_Value,Total_Bought,Total_Sold,Realized_PnL,Cost_Remaining_Shares,Unrealized_PnL,Total_PnL
ADBL,0,307.5,0.0,391971.0,410767.4,18796.400000000023,-18796.400000000023,18796.400000000023,37592.80000000005
AHPC,0,279.0,0.0,424912.7,446743.2,21830.5,-21830.5,21830.5,43661.0
AKJCL,0,268.4,0.0,509854.2,507503.3,-2350.9000000000233,2350.9000000000233,-2350.9000000000233,-4701.800000000047
BARUN,0,375.0,0.0,503414.9,534849.5,31434.599999999977,-31434.599999999977,31434.599999999977,62869.19999999995
CIT,0,1796.9,0.0,222810.0,260010.0,37200.0,-37200.0,37200.0,74400.0
CZBIL,0,203.0,0.0,548631.6,547201.7,-1429.9000000000233,1429.9000000000233,-1429.9000000000233,-2859.8000000000466
DHPL,0,314.9,0.0,509491.4,531842.2,22350.79999999993,-22350.79999999993,22350.79999999993,44701.59999999986
EDBL,0,635.0,0.0,486396.8,491933.3,5536.5,-5536.5,5536.5,11073.0
HPPL,0,485.0,0.0,471286.4,491478.3,20191.899999999965,-20191.899999999965,20191.899999999965,40383.79999999993
HURJA,0,246.0,0.0,533145.5,548053.0,14907.5,-14907.5,14907.5,29815.0
ICFC,0,702.9,0.0,574067.5,595161.9,21094.400000000023,-21094.400000000023,21094.400000000023,42188.80000000005
JBBL,0,369.9,0.0,618147.45,625956.7,7809.25,-7809.25,7809.25,15618.5
JOSHI,0,313.0,0.0,552040.75,583505.0,31464.25,-31464.25,31464.25,62928.5
KKHC,0,239.0,0.0,552793.95,579643.1,26849.150000000023,-26849.150000000023,26849.150000000023,53698.30000000005
KSBBL,0,481.9,0.0,593367.8,610353.75,16985.949999999953,-16985.949999999953,16985.949999999953,33971.89999999991
LBBL,0,523.0,0.0,628511.35,668577.65,40066.30000000005,-40066.30000000005,40066.30000000005,80132.6000000001
MEGA,699,219.0,153081.0,604758.6,459460.3,-145298.3,145298.3,7782.700000000012,-137515.59999999998
MFIL,0,839.0,0.0,545892.4,583319.7,37427.29999999993,-37427.29999999993,37427.29999999993,74854.59999999986
MLBL,0,392.0,0.0,531854.85,560805.45,28950.599999999977,-28950.599999999977,28950.599999999977,57901.19999999995
NBB,659,400.0,263600.0,508879.9,270970.7,-237909.2,237909.2,25690.79999999999,-212218.40000000002
NHPC,0,220.9,0.0,485925.2,524719.4,38794.20000000001,-38794.20000000001,38794.20000000001,77588.40000000002
NICA,0,351.2,0.0,477051.5,499905.0,22853.5,-22853.5,22853.5,45707.0
NMB,0,246.4,0.0,513533.2,519610.45,6077.25,-6077.25,6077.25,12154.5
PCBL,0,246.2,0.0,424717.0,407773.4,-16943.599999999977,16943.599999999977,-16943.599999999977,-33887.19999999995
PROFL,0,510.0,0.0,380134.1,393873.4,13739.300000000047,-13739.300000000047,13739.300000000047,27478.600000000093
RLI,165,387.0,63855.0,460203.5,395039.5,-65164.0,65164.0,-1309.0,-66473.0
SANIMA,0,343.9,0.0,446231.7,456178.19999999995,9946.499999999942,-9946.499999999942,9946.499999999942,19892.999999999884
EBL,0,674.0,0.0,520538.1,516023.5,-4514.599999999977,4514.599999999977,-4514.599999999977,-9029.199999999953
LICN,0,888.0,0.0,522454.5,501243.0,-21211.5,21211.5,-21211.5,-42423.0
NABIL,0,497.2,0.0,574768.5,574444.5,-324.0,324.0,-324.0,-648.0
