Date,Stock,Action,Qty,Price,Total_Amount,Cash_In_Hand,TMS_Khata_Value,Profit_Loss,Gain_Loss_Pct,Portfolio_Value,Reason
"Jan 24, 2016",ADBL,SELL,45.0,599.0,26955.0,(3287.0 + 26955.0 = 30242.0),564247.0,22410.0,493.07%,594489.0,Take Profit (100% up) - exactly 493.07% up
"Feb 04, 2016",ADBL,BUY,51.0,589.0,-30039.0,274795.0,332888.0,0.0,0.00%,607683.0,Trend Entry (Str: 0.07)
"Mar 21, 2016",ADBL,SELL,51.0,648.0,33048.0,87522.0,570128.0,3009.0,10.02%,657650.0,Trailing Stop (7% drop) - exactly 8.35% drop
"Mar 27, 2016",ADBL,BUY,49.0,673.0,-32977.0,163209.0,504019.0,0.0,0.00%,667228.0,Trend Entry (Str: 0.08)
"Apr 11, 2016",ADBL,SELL,49.0,576.0,28224.0,261412.0,388039.0,-4753.0,-14.41%,649451.0,Trailing Stop (7% drop) - exactly 15.79% drop
"May 09, 2016",ADBL,BUY,54.0,649.0,-35046.0,74630.0,637942.0,0.0,0.00%,712572.0,Trend Entry (Str: 0.01)
"Aug 02, 2016",ADBL,SELL,54.0,1000.0,54000.0,98335.0,754099.0,18954.0,54.08%,852434.0,Trailing Stop (7% drop) - exactly 7.58% drop
"Aug 11, 2016",ADBL,BUY,39.0,1020.0,-39780.0,585104.0,226973.0,0.0,0.00%,812077.0,Trend Entry (Str: 0.16)
"Sep 26, 2016",ADBL,SELL,39.0,675.0,26325.0,548532.0,189493.0,-13455.0,-33.82%,738025.0,Trailing Stop (7% drop) - exactly 36.62% drop
"Jan 11, 2017",ADBL,BUY,69.0,540.0,-37260.0,655887.0,95790.0,0.0,0.00%,751677.0,Trend Entry (Str: 0.01)
"Jan 25, 2017",ADBL,SELL,69.0,490.0,33810.0,613302.0,126380.0,-3450.0,-9.26%,739682.0,Trailing Stop (7% drop) - exactly 9.59% drop
"Mar 20, 2017",ADBL,BUY,80.0,461.0,-36880.0,150903.0,589033.0,0.0,0.00%,739936.0,Trend Entry (Str: 0.04)
"Apr 03, 2017",ADBL,SELL,80.0,504.0,40320.0,79357.0,753632.0,3440.0,9.33%,832989.0,Trailing Stop (7% drop) - exactly 15.29% drop
"Jul 18, 2017",ADBL,BUY,81.0,472.0,-38232.0,318056.0,446870.0,0.0,0.00%,764926.0,Trend Entry (Str: 0.08)
"Aug 21, 2017",ADBL,SELL,81.0,438.0,35478.0,252011.0,488519.0,-2754.0,-7.20%,740530.0,Trailing Stop (7% drop) - exactly 7.20% drop
"Oct 03, 2017",ADBL,BUY,79.0,453.0,-35787.0,670361.0,49643.0,0.0,0.00%,720004.0,Trend Entry (Str: 0.03)
"Nov 08, 2017",ADBL,SELL,79.0,416.0,32864.0,435952.0,250150.0,-2923.0,-8.17%,686102.0,Trailing Stop (7% drop) - exactly 8.17% drop
"Dec 06, 2017",ADBL,BUY,78.0,435.0,-33930.0,258927.0,424637.0,0.0,0.00%,683564.0,Trend Entry (Str: 0.01)
"Dec 31, 2017",ADBL,SELL,78.0,402.0,31356.0,503375.0,143509.0,-2574.0,-7.59%,646884.0,Trailing Stop (7% drop) - exactly 7.59% drop
"Apr 11, 2018",ADBL,BUY,94.0,335.0,-31490.0,562824.0,72084.0,0.0,0.00%,634908.0,Trend Entry (Str: 0.03)
"May 02, 2018",ADBL,SELL,94.0,341.0,32054.0,317362.0,323822.0,564.0,1.79%,641184.0,Trailing Stop (7% drop) - exactly 7.59% drop
"Jul 25, 2018",ADBL,BUY,97.0,314.0,-30458.0,448117.0,161076.0,0.0,0.00%,609193.0,Trend Entry (Str: 0.00)
"Oct 07, 2018",ADBL,SELL,97.0,344.0,33368.0,178642.0,440869.0,2910.0,9.55%,619511.0,Trailing Stop (7% drop) - exactly 7.28% drop
"Dec 20, 2018",ADBL,BUY,85.0,349.0,-29665.0,379310.0,219475.0,0.0,0.00%,598785.0,Trend Entry (Str: 0.02)
"Feb 06, 2019",ADBL,SELL,85.0,335.0,28475.0,188409.0,385455.0,-1190.0,-4.01%,573864.0,Trailing Stop (7% drop) - exactly 7.46% drop
"Apr 23, 2019",ADBL,BUY,35.0,346.0,-12110.0,62.0,626470.0,0.0,0.00%,626532.0,Trend Entry (Str: 0.12)
"Jun 16, 2019",ADBL,SELL,35.0,404.0,14140.0,230578.0,386873.0,2030.0,16.76%,617451.0,Trailing Stop (7% drop) - exactly 7.76% drop
"Jul 22, 2019",ADBL,BUY,75.0,416.0,-31200.0,76089.0,553139.0,0.0,0.00%,629228.0,Trend Entry (Str: 0.02)
"Nov 24, 2019",ADBL,SELL,75.0,404.0,30300.0,160846.0,414423.0,-900.0,-2.88%,575269.0,Trailing Stop (7% drop) - exactly 7.55% drop
"Dec 26, 2019",ADBL,BUY,68.0,417.0,-28356.0,55293.0,519735.0,0.0,0.00%,575028.0,Trend Entry (Str: 0.02)
"Dec 30, 2019",ADBL,SELL,68.0,365.0,24820.0,134620.0,429873.0,-3536.0,-12.47%,564493.0,Trailing Stop (7% drop) - exactly 12.47% drop
"Jan 27, 2020",ADBL,BUY,79.0,387.0,-30573.0,27181.0,585568.0,0.0,0.00%,612749.0,Trend Entry (Str: 0.00)
"Mar 02, 2020",ADBL,SELL,79.0,420.0,33180.0,376109.0,336311.0,2607.0,8.53%,712420.0,Trailing Stop (7% drop) - exactly 10.06% drop
"Jul 19, 2020",ADBL,BUY,81.0,432.0,-34992.0,473114.0,230638.0,0.0,0.00%,703752.0,Trend Entry (Str: 0.14)
"Aug 02, 2020",ADBL,SELL,81.0,406.0,32886.0,67889.0,592980.0,-2106.0,-6.02%,660869.0,Trailing Stop (7% drop) - exactly 8.14% drop
"Aug 10, 2020",ADBL,BUY,77.0,425.0,-32725.0,349355.0,307051.0,0.0,0.00%,656406.0,Trend Entry (Str: 0.07)
"Dec 20, 2020",ADBL,SELL,77.0,492.0,37884.0,133399.0,712207.0,5159.0,15.76%,845606.0,Trailing Stop (7% drop) - exactly 11.19% drop
"Feb 08, 2021",ADBL,BUY,108.0,462.0,-49896.0,113232.0,892419.0,0.0,0.00%,1005651.0,Trend Entry (Str: 0.02)
"Mar 02, 2021",ADBL,SELL,108.0,435.0,46980.0,690138.0,307272.0,-2916.0,-5.84%,997410.0,Trailing Stop (7% drop) - exactly 8.03% drop
"Apr 07, 2021",ADBL,BUY,98.0,437.0,-42826.0,170.0,1004972.0,0.0,0.00%,1005142.0,Trend Entry (Str: 0.00)
"Apr 26, 2021",ADBL,SELL,98.0,412.0,40376.0,934034.0,50409.0,-2450.0,-5.72%,984443.0,Trailing Stop (7% drop) - exactly 8.04% drop
"May 31, 2021",ADBL,BUY,19.0,442.0,-8398.0,229.0,1227844.0,0.0,0.00%,1228073.0,Trend Entry (Str: 0.03)
"Aug 31, 2021",ADBL,SELL,19.0,544.0,10336.0,194889.3,1567120.2,1938.0,23.08%,1762009.5,Trailing Stop (7% drop) - exactly 8.88% drop
"Nov 01, 2021",ADBL,BUY,152.0,521.0,-79192.0,947293.8,640582.1,0.0,0.00%,1587875.9,Trend Entry (Str: 0.01)
"Nov 21, 2021",ADBL,SELL,152.0,504.0,76608.0,77429.8,1487494.5,-2584.0,-3.26%,1564924.3,Trailing Stop (7% drop) - exactly 7.17% drop
"Dec 29, 2021",ADBL,BUY,148.0,492.0,-72816.0,1093460.2,368329.9,0.0,0.00%,1461790.1,Trend Entry (Str: 0.04)
"Jan 02, 2022",ADBL,SELL,148.0,411.0,60828.0,1154288.2,304141.0,-11988.0,-16.46%,1458429.2,Trailing Stop (7% drop) - exactly 16.46% drop
"Jul 07, 2022",ADBL,BUY,196.0,330.0,-64680.0,191334.2,1104965.1,0.0,0.00%,1296299.3,Trend Entry (Str: 0.01)
"Sep 20, 2022",ADBL,SELL,196.0,305.1,59799.6,1112836.89,128367.0,-4880.4,-7.55%,1241203.89,Trailing Stop (7% drop) - exactly 9.47% drop
"Oct 20, 2022",ADBL,BUY,196.0,316.0,-61936.0,866926.89,372007.0,0.0,0.00%,1238933.89,Trend Entry (Str: 0.00)
"Jan 23, 2023",ADBL,SELL,196.0,312.1,61171.6,61244.49,1208002.6,-764.4,-1.23%,1269247.09,Trailing Stop (7% drop) - exactly 9.80% drop
"Jul 02, 2023",ADBL,BUY,270.0,232.5,-62775.0,55721.59,1199802.3,0.0,0.00%,1255523.89,Trend Entry (Str: 0.01)
"Jul 30, 2023",ADBL,SELL,270.0,246.8,66636.0,677173.99,559195.4,3861.0,6.15%,1236369.39,Trailing Stop (7% drop) - exactly 7.57% drop
"Aug 06, 2023",ADBL,BUY,233.0,265.0,-61745.0,730770.79,506839.3,0.0,0.00%,1237610.09,Trend Entry (Str: 0.10)
"Oct 12, 2023",ADBL,SELL,233.0,248.3,57853.9,524648.29,633268.6,-3891.1,-6.30%,1157916.89,Trailing Stop (7% drop) - exactly 7.11% drop
"Mar 18, 2024",ADBL,BUY,235.0,235.0,-55225.0,55063.89,1052681.2,0.0,0.00%,1107745.09,Trend Entry (Str: 0.01)
"Jun 09, 2024",ADBL,SELL,235.0,255.0,59925.0,220354.39,915824.7,4700.0,8.51%,1136179.09,Trailing Stop (7% drop) - exactly 8.93% drop
"Jun 13, 2024",ADBL,BUY,218.0,266.0,-57988.0,100031.89,1061930.1,0.0,0.00%,1161961.99,Trend Entry (Str: 0.04)
"Aug 27, 2024",ADBL,SELL,218.0,382.0,83276.0,158329.09,1481630.1,25288.0,43.61%,1639959.19,Trailing Stop (7% drop) - exactly 8.83% drop
"Oct 09, 2024",ADBL,BUY,205.0,383.5,-78617.5,952410.49,625534.0,0.0,0.00%,1577944.49,Trend Entry (Str: 0.04)
"Oct 23, 2024",ADBL,SELL,205.0,367.0,75235.0,224503.79,1329476.2,-3382.5,-4.30%,1553979.99,Trailing Stop (7% drop) - exactly 7.18% drop
"Feb 17, 2025",ADBL,BUY,282.0,295.0,-83190.0,312841.69,1354091.1,0.0,0.00%,1666932.79,Trend Entry (Str: 0.01)
"Mar 19, 2025",ADBL,SELL,282.0,286.1,80680.2,1048924.79,608396.6,-2509.8,-3.02%,1657321.39,Trailing Stop (7% drop) - exactly 7.41% drop
"Apr 17, 2025",ADBL,BUY,279.0,291.96,-81456.84,1062264.87,571798.33,0.0,0.00%,1634063.2,Trend Entry (Str: 0.00)
"Sep 18, 2025",ADBL,SELL,279.0,298.7,83337.3,1422804.74,166454.7,1880.46,2.31%,1589259.44,Trailing Stop (7% drop) - exactly 12.04% drop
"Nov 18, 2025",ADBL,BUY,249.0,314.5,-78310.5,715925.64,854550.6,0.0,0.00%,1570476.24,Trend Entry (Str: 0.00)
"Dec 01, 2025",ADBL,SELL,249.0,303.9,75671.1,76291.14,1519747.4,-2639.4,-3.37%,1596038.54,Trailing Stop (7% drop) - exactly 7.60% drop
"Jan 13, 2026",ADBL,BUY,269.0,298.0,-80162.0,147346.44,1461303.4,0.0,0.00%,1608649.84,Trend Entry (Str: 0.01)
"Feb 01, 2016",AHPC,SELL,27.0,335.0,9045.0,383264.0,215015.0,2214.0,32.41%,598279.0,Trailing Stop (7% drop) - exactly 7.20% drop
"Feb 22, 2016",AHPC,BUY,101.0,306.0,-30906.0,122823.0,501255.0,0.0,0.00%,624078.0,Trend Entry (Str: 0.04)
"Mar 15, 2016",AHPC,SELL,101.0,341.0,34441.0,119862.0,526758.0,3535.0,11.44%,646620.0,Trailing Stop (7% drop) - exactly 9.07% drop
"Mar 20, 2016",AHPC,BUY,96.0,339.0,-32544.0,87318.0,570107.0,0.0,0.00%,657425.0,Trend Entry (Str: 0.08)
"Mar 24, 2016",AHPC,SELL,96.0,314.0,30144.0,154720.0,503644.0,-2400.0,-7.37%,658364.0,Trailing Stop (7% drop) - exactly 7.37% drop
"May 08, 2016",AHPC,BUY,110.0,320.0,-35200.0,179840.0,526545.0,0.0,0.00%,706385.0,Trend Entry (Str: 0.03)
"Jun 05, 2016",AHPC,SELL,110.0,340.0,37400.0,282897.0,427418.0,2200.0,6.25%,710315.0,Trailing Stop (7% drop) - exactly 9.09% drop
"Jun 12, 2016",AHPC,BUY,100.0,356.0,-35600.0,231814.0,481073.0,0.0,0.00%,712887.0,Trend Entry (Str: 0.06)
"Jul 13, 2016",AHPC,SELL,100.0,397.0,39700.0,79414.0,683269.0,4100.0,11.52%,762683.0,Trailing Stop (7% drop) - exactly 8.74% drop
"Jul 17, 2016",AHPC,BUY,90.0,421.0,-37890.0,24.0,787444.0,0.0,0.00%,787468.0,Trend Entry (Str: 0.07)
"Aug 04, 2016",AHPC,SELL,90.0,415.0,37350.0,592157.0,230783.0,-540.0,-1.43%,822940.0,Trailing Stop (7% drop) - exactly 10.75% drop
"Oct 27, 2016",AHPC,BUY,121.0,318.0,-38478.0,487685.0,287084.0,0.0,0.00%,774769.0,Trend Entry (Str: 0.01)
"Nov 16, 2016",AHPC,SELL,121.0,290.0,35090.0,580847.0,185660.0,-3388.0,-8.81%,766507.0,Trailing Stop (7% drop) - exactly 8.81% drop
"Mar 16, 2017",AHPC,BUY,160.0,227.0,-36320.0,270357.0,459540.0,0.0,0.00%,729897.0,Trend Entry (Str: 0.04)
"Apr 18, 2017",AHPC,SELL,160.0,279.0,44640.0,209364.0,596267.0,8320.0,22.91%,805631.0,Trailing Stop (7% drop) - exactly 7.31% drop
"Apr 23, 2017",AHPC,BUY,143.0,290.0,-41470.0,170604.0,663979.0,0.0,0.00%,834583.0,Trend Entry (Str: 0.11)
