published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-04,163.5,167.0,163.5,167.0,4.05,3160.0,525632.0,0
2024-03-05,169.0,170.0,163.2,164.0,-1.8,56212.0,9329310.7,0
2024-03-06,163.0,165.7,162.0,164.2,0.12,50305.0,8246517.1,0
2024-03-07,167.0,167.0,163.7,163.8,-0.24,31368.0,5166802.4,0
2024-03-08,167.0,167.0,163.7,163.8,-0.24,31368.0,5166802.4,0
2024-03-09,167.0,167.0,163.7,163.8,-0.24,31368.0,5166802.4,0
2024-03-10,164.0,165.0,164.0,164.9,0.67,45371.0,7459907.2,0
2024-03-11,164.0,165.0,164.0,164.9,0.67,45371.0,7459907.2,0
2024-03-12,164.0,173.9,164.0,172.9,4.85,134520.0,22563112.8,0
2024-03-13,175.0,175.0,168.9,172.0,-0.52,48828.0,8327958.3,0
2024-03-14,170.0,171.0,168.0,168.5,-2.03,42814.0,7235583.9,0
2024-03-15,170.0,171.0,168.0,168.5,-2.03,42814.0,7235583.9,0
2024-03-16,170.0,171.0,168.0,168.5,-2.03,42814.0,7235583.9,0
2024-03-17,170.9,170.9,164.7,166.4,-1.25,81619.0,13545024.4,0
2024-03-18,164.5,168.0,164.0,166.9,0.3,67215.0,11169649.0,0
2024-03-19,167.0,167.0,164.2,165.0,-1.14,37740.0,6253389.2,0
2024-03-20,165.1,165.9,163.0,165.0,0.0,36583.0,6028254.7,0
2024-03-21,166.0,166.0,162.0,163.0,-1.21,63895.0,10411140.3,0
2024-03-22,166.0,166.0,162.0,163.0,-1.21,63895.0,10411140.3,0
2024-03-23,166.0,166.0,162.0,163.0,-1.21,63895.0,10411140.3,0
2024-03-24,166.0,166.0,162.0,163.0,-1.21,63895.0,10411140.3,0
2024-03-25,163.0,163.0,160.0,161.0,-1.23,98561.0,15862169.0,0
2024-03-26,160.0,163.2,160.0,160.6,-0.25,61069.0,9804112.5,0
