Date,Stock,Action,Price,Quantity,Amount,Remaining_Cash,Total_Shares
4/7/2021,ADBL,BUY,437,10,4370,195630,10
4/8/2021,ADBL,BUY,437,10,4370,191260,20
4/12/2021,ADBL,BUY,437,10,4370,186890,30
4/13/2021,ADBL,SELL,445,10,4450,191340,20
4/15/2021,ADBL,SELL,448,10,4480,195820,10
4/18/2021,ADBL,BUY,441,10,4410,191410,20
4/19/2021,ADBL,BUY,433,10,4330,187080,30
4/20/2021,ADBL,BUY,430,10,4300,182780,40
4/21/2021,ADBL,BUY,429,10,4290,178490,50
4/22/2021,ADBL,BUY,428,10,4280,174210,60
4/25/2021,ADBL,BUY,419,10,4190,170020,70
4/26/2021,ADBL,BUY,412,10,4120,165900,80
4/27/2021,ADBL,BUY,416,10,4160,161740,90
4/28/2021,ADBL,BUY,415,10,4150,157590,100
4/29/2021,ADBL,BUY,419,10,4190,153400,110
5/2/2021,ADBL,BUY,424,10,4240,149160,120
5/3/2021,ADBL,BUY,418,10,4180,144980,130
5/4/2021,ADBL,BUY,417,10,4170,140810,140
5/5/2021,ADBL,BUY,417,10,4170,136640,150
5/6/2021,ADBL,BUY,417,10,4170,132470,160
5/9/2021,ADBL,BUY,419,10,4190,128280,170
5/10/2021,ADBL,BUY,420,10,4200,124080,180
5/11/2021,ADBL,BUY,421,10,4210,119870,190
5/12/2021,ADBL,BUY,419,10,4190,115680,200
5/13/2021,ADBL,BUY,419,10,4190,111490,210
5/16/2021,ADBL,BUY,425,10,4250,107240,220
5/17/2021,ADBL,SELL,428,10,4280,111520,210
5/18/2021,ADBL,SELL,433,10,4330,115850,200
5/19/2021,ADBL,SELL,435,10,4350,120200,190
5/20/2021,ADBL,SELL,437,10,4370,124570,180
5/23/2021,ADBL,SELL,445,10,4450,129020,170
5/24/2021,ADBL,SELL,452,10,4520,133540,160
5/25/2021,ADBL,SELL,446,10,4460,138000,150
5/27/2021,ADBL,SELL,444,10,4440,142440,140
5/30/2021,ADBL,SELL,448,10,4480,146920,130
5/31/2021,ADBL,SELL,442,10,4420,151340,120
6/1/2021,ADBL,SELL,437,10,4370,155710,110
6/2/2021,ADBL,SELL,440,10,4400,160110,100
6/3/2021,ADBL,SELL,450,10,4500,164610,90
6/6/2021,ADBL,SELL,466,10,4660,169270,80
6/7/2021,ADBL,SELL,458,10,4580,173850,70
6/8/2021,ADBL,SELL,463,10,4630,178480,60
6/9/2021,ADBL,SELL,462,10,4620,183100,50
6/10/2021,ADBL,SELL,457,10,4570,187670,40
6/13/2021,ADBL,SELL,461,10,4610,192280,30
6/14/2021,ADBL,SELL,478,10,4780,197060,20
6/15/2021,ADBL,SELL,487,10,4870,201930,10
6/16/2021,ADBL,SELL,492,10,4920,206850,0
9/5/2021,ADBL,BUY,529,10,5290,201560,10
9/6/2021,ADBL,SELL,555,10,5550,207110,0
9/8/2021,ADBL,BUY,535,10,5350,201760,10
9/9/2021,ADBL,BUY,535.3,10,5353,196407,20
9/12/2021,ADBL,BUY,539,10,5390,191017,30
9/13/2021,ADBL,SELL,546,10,5460,196477,20
9/14/2021,ADBL,SELL,547,10,5470,201947,10
9/15/2021,ADBL,BUY,536,10,5360,196587,20
9/16/2021,ADBL,BUY,520.2,10,5202,191385,30
9/20/2021,ADBL,BUY,507.9,10,5079,186306,40
9/21/2021,ADBL,BUY,507,10,5070,181236,50
9/22/2021,ADBL,BUY,529,10,5290,175946,60
9/23/2021,ADBL,BUY,545,10,5450,170496,70
9/26/2021,ADBL,BUY,540,10,5400,165096,80
9/27/2021,ADBL,BUY,523,10,5230,159866,90
9/28/2021,ADBL,BUY,509,10,5090,154776,100
9/29/2021,ADBL,BUY,512,10,5120,149656,110
9/30/2021,ADBL,BUY,508,10,5080,144576,120
10/3/2021,ADBL,BUY,498,10,4980,139596,130
10/4/2021,ADBL,BUY,497,10,4970,134626,140
10/5/2021,ADBL,BUY,504,10,5040,129586,150
10/6/2021,ADBL,BUY,506,10,5060,124526,160
10/10/2021,ADBL,BUY,509.5,10,5095,119431,170
10/11/2021,ADBL,BUY,509,10,5090,114341,180
