Date,Stock,Action,Price,Quantity,Amount,Remaining_Cash,Total_Shares
2/7/2021,NICA,BUY,874,10,8740,191260,10
2/7/2021,EBL,BUY,776,10,7760,183500,10
2/7/2021,NABIL,BUY,1114,10,11140,172360,10
2/7/2021,ICFC,BUY,295,10,2950,169410,10
2/7/2021,NMB,BUY,427,10,4270,165140,10
2/7/2021,PCBL,BUY,447,10,4470,160670,10
2/7/2021,MEGA,BUY,282,10,2820,157850,10
2/7/2021,MLBL,BUY,284,10,2840,155010,10
2/7/2021,EDBL,BUY,392,10,3920,151090,10
2/7/2021,ADBL,BUY,450,10,4500,146590,10
2/7/2021,PROFL,BUY,160,10,1600,144990,10
2/7/2021,NBB,BUY,292,10,2920,142070,10
2/8/2021,NHPC,BUY,140,10,1400,140670,10
2/8/2021,ICFC,SELL,302,10,3020,143690,0
2/8/2021,ADBL,SELL,462,10,4620,148310,0
2/8/2021,AKJCL,BUY,137,10,1370,146940,10
2/8/2021,EBL,SELL,792,10,7920,154860,0
2/8/2021,NICA,SELL,889,10,8890,163750,0
2/8/2021,DHPL,BUY,115,10,1150,162600,10
2/8/2021,NABIL,SELL,1165,10,11650,174250,0
2/8/2021,PCBL,SELL,462,10,4620,178870,0
2/8/2021,PROFL,BUY,160,10,1600,177270,20
2/8/2021,EDBL,SELL,403,10,4030,181300,0
2/8/2021,NMB,SELL,442,10,4420,185720,0
2/8/2021,NBB,SELL,306,10,3060,188780,0
2/8/2021,MEGA,SELL,298,10,2980,191760,0
2/8/2021,KKHC,BUY,114,10,1140,190620,10
2/8/2021,JOSHI,BUY,121,10,1210,189410,10
2/8/2021,MLBL,SELL,293,10,2930,192340,0
2/9/2021,EBL,BUY,782,10,7820,184520,10
2/9/2021,ADBL,BUY,453,10,4530,179990,10
2/9/2021,AKJCL,SELL,144,10,1440,181430,0
2/9/2021,JOSHI,BUY,120,10,1200,180230,20
2/9/2021,DHPL,BUY,114,10,1140,179090,20
2/9/2021,PROFL,SELL,164,10,1640,180730,10
2/9/2021,KKHC,SELL,116,10,1160,181890,0
2/9/2021,NHPC,BUY,140,10,1400,180490,20
2/10/2021,JOSHI,BUY,119,10,1190,179300,30
2/10/2021,KKHC,BUY,113,10,1130,178170,10
2/10/2021,PROFL,SELL,165,10,1650,179820,0
2/10/2021,ADBL,SELL,457,10,4570,184390,0
2/10/2021,NHPC,BUY,136,10,1360,183030,30
2/10/2021,DHPL,BUY,114,10,1140,181890,30
2/10/2021,EBL,BUY,779,10,7790,174100,20
2/11/2021,JOSHI,BUY,119,10,1190,172910,40
2/11/2021,KKHC,SELL,116,10,1160,174070,0
2/11/2021,DHPL,BUY,115,10,1150,172920,40
2/11/2021,ADBL,BUY,451,10,4510,168410,10
2/11/2021,EBL,SELL,785,10,7850,176260,10
2/11/2021,AKJCL,BUY,138,10,1380,174880,10
2/11/2021,RLI,BUY,736,10,7360,167520,10
2/11/2021,NHPC,BUY,135,10,1350,166170,40
2/14/2021,EBL,BUY,775,10,7750,158420,20
2/14/2021,AKJCL,SELL,143,10,1430,159850,0
2/14/2021,JOSHI,BUY,119,10,1190,158660,50
2/14/2021,RLI,BUY,726,10,7260,151400,20
2/14/2021,NICA,BUY,877,10,8770,142630,10
2/14/2021,DHPL,BUY,114,10,1140,141490,50
2/14/2021,ADBL,BUY,448,10,4480,137010,20
2/14/2021,CIT,BUY,4500,10,45000,92010,10
2/14/2021,NHPC,BUY,134,10,1340,90670,50
2/14/2021,KKHC,BUY,115,10,1150,89520,10
2/14/2021,PROFL,BUY,160,10,1600,87920,10
2/15/2021,RLI,SELL,760,10,7600,95520,10
2/15/2021,PROFL,SELL,166,10,1660,97180,0
2/15/2021,CIT,SELL,4689,10,46890,144070,0
2/15/2021,JOSHI,SELL,121,10,1210,145280,40
2/15/2021,KKHC,SELL,115,10,1150,146430,0
2/15/2021,NICA,SELL,917,10,9170,155600,0
2/15/2021,ADBL,SELL,456,10,4560,160160,10
2/15/2021,EBL,SELL,797,10,7970,168130,10
2/15/2021,NHPC,BUY,137,10,1370,166760,60
2/15/2021,DHPL,BUY,115,10,1150,165610,60
2/16/2021,ADBL,SELL,462,10,4620,170230,0
2/16/2021,RLI,BUY,745,10,7450,162780,20
2/16/2021,EBL,SELL,791,10,7910,170690,0
2/16/2021,KKHC,BUY,113,10,1130,169560,10
2/16/2021,HPPL,BUY,330,10,3300,166260,10
2/16/2021,PROFL,BUY,162,10,1620,164640,10
2/16/2021,NHPC,BUY,136,10,1360,163280,70
2/16/2021,JOSHI,BUY,118,10,1180,162100,50
2/16/2021,DHPL,BUY,114,10,1140,160960,70
2/17/2021,CIT,BUY,4600,10,46000,114960,10
2/17/2021,NHPC,BUY,135,10,1350,113610,80
2/17/2021,PROFL,SELL,165,10,1650,115260,0
2/17/2021,JOSHI,BUY,119,10,1190,114070,60
2/17/2021,AKJCL,BUY,141,10,1410,112660,10
2/17/2021,DHPL,BUY,114,10,1140,111520,80
2/17/2021,RLI,BUY,735,10,7350,104170,30
2/17/2021,BARUN,BUY,246,10,2460,101710,10
2/17/2021,HPPL,BUY,325,10,3250,98460,20
2/17/2021,KKHC,BUY,113,10,1130,97330,20
2/18/2021,AKJCL,SELL,142,10,1420,98750,0
2/18/2021,BARUN,BUY,243,10,2430,96320,20
2/18/2021,HPPL,SELL,352,10,3520,99840,10
2/18/2021,KKHC,BUY,112,10,1120,98720,30
2/18/2021,NHPC,BUY,137,10,1370,97350,90
2/18/2021,CIT,SELL,4705,10,47050,144400,0
2/18/2021,RLI,BUY,725,10,7250,137150,40
2/18/2021,JOSHI,BUY,118,10,1180,135970,70
2/18/2021,DHPL,BUY,113,10,1130,134840,90
2/21/2021,MFIL,BUY,511,10,5110,129730,10
2/21/2021,HPPL,SELL,344,10,3440,133170,0
2/21/2021,BARUN,BUY,246,10,2460,130710,30
