Date,Stock,Action,Qty,Price,Total_Amount,Cash_In_Hand,TMS_Khata_Value,Profit_Loss,Gain_Loss_Pct,Portfolio_Value,Reason
"Jan 24, 2016",ADBL,SELL,45.0,599.0,26955.0,30242.0,564247.0,22410.0,493.07%,594489.0,Take Profit (100% up) - exactly 493.07% up
"Jan 24, 2016",AHPC,SELL,27.0,349.0,9423.0,39665.0,554824.0,2592.0,37.94%,594489.0,Take Profit (25% up) - exactly 37.94% up
"Jan 24, 2016",ALICL,SELL,35.0,1299.0,45465.0,85130.0,509359.0,40285.0,777.70%,594489.0,Take Profit (100% up) - exactly 777.70% up
"Jan 24, 2016",CIT,SELL,21.0,4390.0,92190.0,177320.0,417169.0,81921.0,797.75%,594489.0,Take Profit (100% up) - exactly 797.75% up
"Jan 24, 2016",CZBIL,SELL,34.0,612.0,20808.0,198128.0,396361.0,15402.0,284.91%,594489.0,Take Profit (100% up) - exactly 284.91% up
"Jan 24, 2016",EBL,SELL,19.0,2350.0,44650.0,242778.0,351711.0,32015.0,253.38%,594489.0,Take Profit (100% up) - exactly 253.38% up
"Jan 24, 2016",EDBL,SELL,28.0,645.0,18060.0,260838.0,333651.0,11732.0,185.40%,594489.0,Take Profit (100% up) - exactly 185.40% up
"Jan 24, 2016",GBIME,SELL,27.0,463.0,12501.0,273339.0,321150.0,5940.0,90.53%,594489.0,Take Profit (25% up) - exactly 90.53% up
"Jan 24, 2016",ICFC,SELL,45.0,236.0,10620.0,283959.0,310530.0,6075.0,133.66%,594489.0,Take Profit (100% up) - exactly 133.66% up
"Jan 24, 2016",LICN,SELL,21.0,3500.0,73500.0,357459.0,237030.0,63399.0,627.65%,594489.0,Take Profit (100% up) - exactly 627.65% up
"Jan 24, 2016",NABIL,SELL,18.0,1895.0,34110.0,391569.0,202920.0,19278.0,129.98%,594489.0,Take Profit (100% up) - exactly 129.98% up
"Jan 24, 2016",NBB,SELL,44.0,488.0,21472.0,413041.0,181448.0,16940.0,373.79%,594489.0,Take Profit (100% up) - exactly 373.79% up
"Jan 24, 2016",NHPC,SELL,91.0,159.0,14469.0,427510.0,166979.0,10829.0,297.50%,594489.0,Take Profit (100% up) - exactly 297.50% up
"Jan 24, 2016",NICA,SELL,20.0,720.0,14400.0,441910.0,152579.0,3820.0,36.11%,594489.0,Take Profit (25% up) - exactly 36.11% up
