Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
1/25/2021,ADBL,SELL,24,460,11040,4032,Take Profit (25% gain)
1/25/2021,AHPC,SELL,44,252,11088,7128,Take Profit (25% gain)
1/25/2021,AKJCL,SELL,71,143,10153,6745,Take Profit (25% gain)
1/25/2021,BARUN,SELL,50,235,11750,7950,Take Profit (25% gain)
1/25/2021,CIT,SELL,16,4169,66704,39744,Take Profit (25% gain)
1/25/2021,CZBIL,SELL,30,297,8910,3720,Take Profit (25% gain)
1/25/2021,DHPL,SELL,72,114,8208,4820.4,Take Profit (25% gain)
1/25/2021,EBL,SELL,20,833,16660,6580,Take Profit (25% gain)
1/25/2021,EDBL,SELL,25,406,10150,3675,Take Profit (25% gain)
1/25/2021,HPPL,SELL,35,280,9800,5285,Take Profit (25% gain)
1/25/2021,HURJA,SELL,46,213,9798,5796,Take Profit (25% gain)
1/25/2021,ICFC,SELL,33,308,10164,5379,Take Profit (25% gain)
1/25/2021,JBBL,SELL,35,226,7910,3255,Take Profit (25% gain)
1/25/2021,JOSHI,SELL,73,123,8979,5606.4,Take Profit (25% gain)
1/25/2021,KKHC,SELL,74,114,8436,5091.2,Take Profit (25% gain)
1/25/2021,KSBBL,SELL,35,284,9940,5355,Take Profit (25% gain)
1/25/2021,LBBL,SELL,31,246,7626,2449,Take Profit (25% gain)
1/25/2021,LICN,SELL,17,2370,40290,24769,Take Profit (25% gain)
1/25/2021,MEGA,SELL,32,300,9600,4608,Take Profit (25% gain)
1/25/2021,MFIL,SELL,39,406,15834,11505,Take Profit (25% gain)
1/25/2021,MLBL,SELL,32,294,9408,4416,Take Profit (25% gain)
1/25/2021,NABIL,SELL,19,1176,22344,9804,Take Profit (25% gain)
1/25/2021,NBB,SELL,30,309,9270,3930,Take Profit (25% gain)
1/25/2021,NHPC,SELL,70,128,8960,5530,Take Profit (25% gain)
1/25/2021,NICA,SELL,22,907,19954,11814,Take Profit (25% gain)
1/25/2021,NMB,SELL,23,431,9913,2990,Take Profit (25% gain)
1/25/2021,PCBL,SELL,26,474,12324,6370,Take Profit (25% gain)
1/25/2021,PROFL,SELL,43,175,7525,3483,Take Profit (25% gain)
1/25/2021,RLI,SELL,22,671,14762,6534,Take Profit (25% gain)
1/25/2021,SANIMA,SELL,24,364,8736,1776,Take Profit (25% gain)
,,,,,416236,,
1/26/2021,RLI,BUY,159,657,-104463,0,Trend Entry
1/27/2021,BARUN,BUY,445,236,-105020,0,Trend Entry
1/28/2021,PCBL,BUY,229,457,-104653,0,Trend Entry
1/31/2021,LICN,BUY,42,2394,-100548,0,Trend Entry
2/1/2021,KKHC,BUY,46,117,-5382,0,Trend Entry
2/11/2021,BARUN,SELL,445,243,108135,3115,Trailing Stop (7% drop)
2/11/2021,EDBL,BUY,270,400,-108000,0,Trend Entry
2/14/2021,RLI,SELL,159,726,115434,10971,Trailing Stop (7% drop)
2/14/2021,HURJA,BUY,450,245,-110250,0,Trend Entry
2/16/2021,KSBBL,BUY,16,325,-5200,0,Trend Entry
2/17/2021,HURJA,SELL,450,324,145800,35550,Take Profit (25% gain)
2/17/2021,NABIL,BUY,89,1391,-123799,0,Trend Entry
2/18/2021,JBBL,BUY,90,244,-21960,0,Trend Entry
2/21/2021,LICN,SELL,42,2426,101892,1344,Trailing Stop (7% drop)
2/21/2021,NBB,BUY,314,325,-102050,0,Trend Entry
2/28/2021,PCBL,SELL,229,436,99844,-4809,Trailing Stop (7% drop)
2/28/2021,KKHC,SELL,46,117,5382,0,Trailing Stop (7% drop)
2/28/2021,EDBL,SELL,270,418,112860,4860,Trailing Stop (7% drop)
2/28/2021,KSBBL,SELL,16,303,4848,-352,Trailing Stop (7% drop)
2/28/2021,JBBL,SELL,90,224,20160,-1800,Trailing Stop (7% drop)
2/28/2021,NHPC,BUY,762,149,-113538,0,Trend Entry
3/1/2021,HPPL,BUY,317,360,-114120,0,Trend Entry
3/2/2021,NABIL,SELL,89,1274,113386,-10413,Trailing Stop (7% drop)
3/2/2021,NBB,SELL,314,301,94514,-7536,Trailing Stop (7% drop)
3/4/2021,HPPL,SELL,317,465,147405,33285,Take Profit (25% gain)
3/4/2021,AHPC,BUY,366,338,-123708,0,Trend Entry
3/7/2021,CZBIL,BUY,399,307,-122493,0,Trend Entry
3/9/2021,HPPL,BUY,254,488,-123952,0,Trend Entry
3/14/2021,HPPL,SELL,254,448,113792,-10160,Trailing Stop (7% drop)
3/14/2021,AKJCL,BUY,794,144,-114336,0,Trend Entry
3/15/2021,AHPC,SELL,366,335,122610,-1098,Trailing Stop (7% drop)
3/15/2021,HURJA,BUY,359,338,-121342,0,Trend Entry
3/21/2021,AKJCL,SELL,794,145,115130,794,Trailing Stop (7% drop)
3/21/2021,DHPL,BUY,979,119,-116501,0,Trend Entry
4/12/2021,NHPC,SELL,762,171,130302,16764,Trailing Stop (7% drop)
4/12/2021,PCBL,BUY,282,439,-123798,0,Trend Entry
4/15/2021,JBBL,BUY,23,282,-6486,0,Trend Entry
4/21/2021,JBBL,SELL,23,260,5980,-506,Trailing Stop (7% drop)
4/21/2021,LBBL,BUY,20,290,-5800,0,Trend Entry
4/25/2021,CZBIL,SELL,399,309,123291,798,Trailing Stop (7% drop)
4/25/2021,PCBL,SELL,282,423,119286,-4512,Trailing Stop (7% drop)
4/26/2021,HURJA,SELL,359,345,123855,2513,Trailing Stop (7% drop)
4/26/2021,DHPL,SELL,979,125,122375,5874,Trailing Stop (7% drop)
4/27/2021,HURJA,BUY,330,374,-123420,0,Trend Entry
4/29/2021,SANIMA,BUY,316,394,-124504,0,Trend Entry
5/2/2021,NBB,BUY,330,380,-125400,0,Trend Entry
5/3/2021,JOSHI,BUY,844,137,-115628,0,Trend Entry
5/6/2021,JOSHI,SELL,844,173,146012,30384,Take Profit (25% gain)
5/6/2021,KKHC,BUY,791,165,-130515,0,Trend Entry
5/9/2021,HURJA,SELL,330,363,119790,-3630,Trailing Stop (7% drop)
5/9/2021,JOSHI,BUY,753,170,-128010,0,Trend Entry
5/10/2021,HPPL,BUY,18,408,-7344,0,Trend Entry
5/18/2021,KKHC,SELL,791,226,178766,48251,Take Profit (25% gain)
5/18/2021,JOSHI,SELL,753,229,172437,44427,Take Profit (25% gain)
5/18/2021,LICN,BUY,64,2409,-154176,0,Trend Entry
5/19/2021,BARUN,BUY,435,357,-155295,0,Trend Entry
5/20/2021,JBBL,BUY,137,303,-41511,0,Trend Entry
5/25/2021,BARUN,SELL,435,486,211410,56115,Take Profit (25% gain)
