SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2021-01-25,ADBL,SELL,24,460.0,11040.0,4032.0,Take Profit (25% gain)
2021-01-25,AHPC,SELL,44,252.0,11088.0,7128.0,Take Profit (25% gain)
2021-01-25,AKJCL,SELL,71,143.0,10153.0,6745.0,Take Profit (25% gain)
2021-01-25,BARUN,SELL,50,235.0,11750.0,7950.0,Take Profit (25% gain)
2021-01-25,CIT,SELL,16,4169.0,66704.0,39744.0,Take Profit (25% gain)
2021-01-25,CZBIL,SELL,30,297.0,8910.0,3720.0,Take Profit (25% gain)
2021-01-25,DHPL,SELL,72,114.0,8208.0,4820.4,Take Profit (25% gain)
2021-01-25,EBL,SELL,20,833.0,16660.0,6580.0,Take Profit (25% gain)
2021-01-25,EDBL,SELL,25,406.0,10150.0,3675.0,Take Profit (25% gain)
2021-01-25,HPPL,SELL,35,280.0,9800.0,5285.0,Take Profit (25% gain)
2021-01-25,HURJA,SELL,46,213.0,9798.0,5796.0,Take Profit (25% gain)
2021-01-25,ICFC,SELL,33,308.0,10164.0,5379.0,Take Profit (25% gain)
2021-01-25,JBBL,SELL,35,226.0,7910.0,3255.0,Take Profit (25% gain)
2021-01-25,JOSHI,SELL,73,123.0,8979.0,5606.4,Take Profit (25% gain)
2021-01-25,KKHC,SELL,74,114.0,8436.0,5091.2,Take Profit (25% gain)
2021-01-25,KSBBL,SELL,35,284.0,9940.0,5355.0,Take Profit (25% gain)
2021-01-25,LBBL,SELL,31,246.0,7626.0,2449.0,Take Profit (25% gain)
2021-01-25,LICN,SELL,17,2370.0,40290.0,24769.0,Take Profit (25% gain)
2021-01-25,MEGA,SELL,32,300.0,9600.0,4608.0,Take Profit (25% gain)
2021-01-25,MFIL,SELL,39,406.0,15834.0,11505.0,Take Profit (25% gain)
2021-01-25,MLBL,SELL,32,294.0,9408.0,4416.0,Take Profit (25% gain)
2021-01-25,NABIL,SELL,19,1176.0,22344.0,9804.0,Take Profit (25% gain)
2021-01-25,NBB,SELL,30,309.0,9270.0,3930.0,Take Profit (25% gain)
2021-01-25,NHPC,SELL,70,128.0,8960.0,5530.0,Take Profit (25% gain)
2021-01-25,NICA,SELL,22,907.0,19954.0,11814.0,Take Profit (25% gain)
2021-01-25,NMB,SELL,23,431.0,9913.0,2990.0,Take Profit (25% gain)
2021-01-25,PCBL,SELL,26,474.0,12324.0,6370.0,Take Profit (25% gain)
2021-01-25,PROFL,SELL,43,175.0,7525.0,3483.0,Take Profit (25% gain)
2021-01-25,RLI,SELL,22,671.0,14762.0,6534.0,Take Profit (25% gain)
2021-01-25,SANIMA,SELL,24,364.0,8736.0,1776.0,Take Profit (25% gain)
2021-01-26,KKHC,BUY,905,116.0,-104980.0,0.0,Trend Entry
2021-01-27,AHPC,BUY,427,248.0,-105896.0,0.0,Trend Entry
2021-01-28,AKJCL,BUY,755,140.0,-105700.0,0.0,Trend Entry
2021-01-31,LICN,BUY,42,2394.0,-100548.0,0.0,Trend Entry
2021-02-15,AHPC,SELL,427,325.0,138775.0,32879.0,Take Profit (25% gain)
2021-02-15,ADBL,BUY,255,456.0,-116280.0,0.0,Trend Entry
2021-02-16,SANIMA,BUY,66,386.0,-25476.0,0.0,Trend Entry
2021-02-21,LICN,SELL,42,2426.0,101892.0,1344.0,Trailing Stop (7% drop)
2021-02-21,NMB,BUY,215,473.0,-101695.0,0.0,Trend Entry
2021-02-25,AKJCL,SELL,755,150.0,113250.0,7550.0,Trailing Stop (7% drop)
2021-02-25,AHPC,BUY,338,335.0,-113230.0,0.0,Trend Entry
2021-02-28,KKHC,SELL,905,117.0,105885.0,905.0,Trailing Stop (7% drop)
2021-02-28,SANIMA,SELL,66,364.0,24024.0,-1452.0,Trailing Stop (7% drop)
2021-02-28,NMB,SELL,215,430.0,92450.0,-9245.0,Trailing Stop (7% drop)
2021-02-28,NHPC,BUY,741,149.0,-110409.0,0.0,Trend Entry
2021-03-01,HPPL,BUY,310,360.0,-111600.0,0.0,Trend Entry
2021-03-02,ADBL,SELL,255,435.0,110925.0,-5355.0,Trailing Stop (7% drop)
2021-03-04,HPPL,SELL,310,465.0,144150.0,32550.0,Take Profit (25% gain)
2021-03-07,CZBIL,BUY,396,307.0,-121572.0,0.0,Trend Entry
2021-03-09,HPPL,BUY,252,488.0,-122976.0,0.0,Trend Entry
2021-03-10,HURJA,BUY,31,352.0,-10912.0,0.0,Trend Entry
2021-03-14,HPPL,SELL,252,448.0,112896.0,-10080.0,Trailing Stop (7% drop)
2021-03-14,AKJCL,BUY,785,144.0,-113040.0,0.0,Trend Entry
2021-03-15,AHPC,SELL,338,335.0,113230.0,0.0,Trailing Stop (7% drop)
2021-03-15,KKHC,BUY,968,117.0,-113256.0,0.0,Trend Entry
2021-03-21,HURJA,SELL,31,327.0,10137.0,-775.0,Trailing Stop (7% drop)
2021-03-21,AKJCL,SELL,785,145.0,113825.0,785.0,Trailing Stop (7% drop)
2021-03-21,KKHC,SELL,968,125.0,121000.0,7744.0,Trailing Stop (7% drop)
2021-03-21,NBB,BUY,342,355.0,-121410.0,0.0,Trend Entry
2021-03-22,JOSHI,BUY,948,127.0,-120396.0,0.0,Trend Entry
2021-03-29,NBB,SELL,342,363.0,124146.0,2736.0,Trailing Stop (7% drop)
2021-03-29,EDBL,BUY,275,446.0,-122650.0,0.0,Trend Entry
2021-04-12,NHPC,SELL,741,171.0,126711.0,16302.0,Trailing Stop (7% drop)
2021-04-12,PCBL,BUY,299,439.0,-131261.0,0.0,Trend Entry
2021-04-13,EDBL,SELL,275,563.0,154825.0,32175.0,Take Profit (25% gain)
2021-04-13,KKHC,BUY,1039,132.0,-137148.0,0.0,Trend Entry
2021-04-15,MLBL,BUY,57,309.0,-17613.0,0.0,Trend Entry
2021-04-21,MLBL,SELL,57,284.0,16188.0,-1425.0,Trailing Stop (7% drop)
2021-04-21,DHPL,BUY,123,133.0,-16359.0,0.0,Trend Entry
2021-04-25,CZBIL,SELL,396,309.0,122364.0,792.0,Trailing Stop (7% drop)
2021-04-25,PCBL,SELL,299,423.0,126477.0,-4784.0,Trailing Stop (7% drop)
2021-04-25,HURJA,BUY,369,358.0,-132102.0,0.0,Trend Entry
2021-04-26,JOSHI,SELL,948,130.0,123240.0,2844.0,Trailing Stop (7% drop)
2021-04-26,KKHC,SELL,1039,125.0,129875.0,-7273.0,Trailing Stop (7% drop)
2021-04-26,DHPL,SELL,123,125.0,15375.0,-984.0,Trailing Stop (7% drop)
2021-04-29,NBB,BUY,348,379.0,-131892.0,0.0,Trend Entry
2021-05-02,KKHC,BUY,988,134.0,-132392.0,0.0,Trend Entry
2021-05-03,HPPL,BUY,294,411.0,-120834.0,0.0,Trend Entry
2021-05-09,HURJA,SELL,369,363.0,133947.0,1845.0,Trailing Stop (7% drop)
2021-05-09,SANIMA,BUY,339,395.0,-133905.0,0.0,Trend Entry
2021-05-12,KKHC,SELL,988,177.0,174876.0,42484.0,Take Profit (25% gain)
