Date,Stock,Action,Price,Quantity,Cash_After
2/7/2021,ADBL,BUY,450,5,7713
2/7/2021,AHPC,SELL,284,5,9133
2/7/2021,AKJCL,SELL,139,5,9828
2/7/2021,BARUN,SELL,263,5,11143
2/7/2021,CZBIL,SELL,290,5,12593
2/7/2021,DHPL,SELL,116,5,13173
2/7/2021,EBL,BUY,776,5,9293
2/7/2021,EDBL,BUY,392,5,7333
2/7/2021,HPPL,SELL,334,5,9003
2/7/2021,HURJA,SELL,236,5,10183
2/7/2021,ICFC,BUY,295,5,8708
2/7/2021,JBBL,SELL,222,5,9818
2/7/2021,JOSHI,SELL,124,5,10438
2/7/2021,KKHC,SELL,116,5,11018
2/7/2021,KSBBL,SELL,290,5,12468
2/7/2021,LBBL,SELL,239,5,13663
2/7/2021,MEGA,BUY,282,5,12253
2/7/2021,MFIL,SELL,484,5,14673
2/7/2021,MLBL,BUY,284,5,13253
2/7/2021,NABIL,BUY,1114,5,7683
2/7/2021,NBB,BUY,292,5,6223
2/7/2021,NHPC,SELL,145,5,6948
2/7/2021,NICA,BUY,874,5,2578
2/7/2021,NMB,BUY,427,5,443
2/7/2021,RLI,SELL,773,5,4308
2/7/2021,SANIMA,SELL,357,5,6093
2/8/2021,ADBL,SELL,462,5,8403
2/8/2021,AHPC,SELL,278,5,9793
2/8/2021,AKJCL,BUY,137,5,9108
2/8/2021,BARUN,SELL,254,5,10378
2/8/2021,CZBIL,SELL,302,5,11888
2/8/2021,DHPL,BUY,115,5,11313
2/8/2021,EBL,SELL,792,5,15273
2/8/2021,EDBL,SELL,403,5,17288
2/8/2021,HPPL,SELL,343,5,19003
2/8/2021,HURJA,SELL,220,5,20103
2/8/2021,ICFC,SELL,302,5,21613
2/8/2021,JBBL,SELL,226,5,22743
2/8/2021,JOSHI,BUY,121,5,22138
2/8/2021,KKHC,BUY,114,5,21568
2/8/2021,KSBBL,SELL,309,5,23113
2/8/2021,LBBL,SELL,245,5,24338
2/8/2021,MEGA,SELL,298,5,25828
