Date,Stock,Action,Price,Quantity,Cash_After
2021-01-25,ADBL,BUY,460.0,15,15153.750000000011
2021-01-25,AHPC,BUY,252.0,15,11373.750000000011
2021-01-25,AKJCL,BUY,143.0,15,9228.750000000011
2021-01-25,BARUN,BUY,235.0,15,5703.750000000011
2021-01-25,CZBIL,BUY,297.0,15,1248.750000000011
2021-01-31,AKJCL,SELL,135.0,153,21903.75000000001
2021-01-31,BARUN,BUY,224.0,19,17647.75000000001
2021-01-31,CZBIL,BUY,275.0,15,13522.750000000011
2021-01-31,DHPL,BUY,113.0,23,10923.750000000011
2021-01-31,EDBL,BUY,388.0,15,5103.750000000011
2021-01-31,HPPL,BUY,260.0,15,1203.750000000011
2021-02-03,HPPL,SELL,287.0,66,20145.75000000001
2021-02-03,HURJA,BUY,212.0,19,16117.750000000011
2021-02-03,ICFC,BUY,294.0,15,11707.750000000011
2021-02-03,JBBL,BUY,221.0,15,8392.750000000011
2021-02-03,JOSHI,BUY,120.0,15,6592.750000000011
2021-02-03,KKHC,BUY,113.0,15,4897.750000000011
2021-02-03,KSBBL,BUY,289.0,15,562.7500000000109
2021-02-04,BARUN,SELL,251.0,121,30933.75000000001
2021-02-04,CZBIL,BUY,292.0,21,24801.75000000001
2021-02-04,DHPL,BUY,119.0,41,19922.75000000001
2021-02-04,EBL,BUY,774.0,15,8312.750000000011
2021-02-04,EDBL,BUY,390.0,15,2462.750000000011
2021-02-04,JOSHI,BUY,122.0,15,632.7500000000109
2021-02-07,AHPC,SELL,284.0,89,25908.75000000001
2021-02-07,AKJCL,BUY,139.0,37,20765.75000000001
2021-02-07,BARUN,BUY,263.0,15,16820.75000000001
2021-02-07,CZBIL,BUY,290.0,15,12470.750000000011
2021-02-07,DHPL,BUY,116.0,21,10034.750000000011
2021-02-07,EDBL,BUY,392.0,15,4154.750000000011
2021-02-07,HURJA,BUY,236.0,15,614.7500000000109
2021-02-08,HURJA,SELL,220.0,110,24814.75000000001
2021-02-08,ICFC,BUY,302.0,16,19982.75000000001
2021-02-08,JBBL,BUY,226.0,17,16140.750000000011
2021-02-08,JOSHI,BUY,121.0,26,12994.750000000011
2021-02-08,KKHC,BUY,114.0,22,10486.750000000011
2021-02-08,KSBBL,BUY,309.0,15,5851.750000000011
2021-02-08,LBBL,BUY,245.0,15,2176.750000000011
2021-02-08,NHPC,BUY,140.0,15,76.75000000001091
2021-02-09,BARUN,SELL,245.0,15,3751.750000000011
2021-02-09,DHPL,BUY,114.0,15,2041.750000000011
2021-02-09,JOSHI,BUY,120.0,15,241.7500000000109
2021-02-16,CZBIL,SELL,322.0,110,35661.750000000015
2021-02-16,DHPL,BUY,114.0,62,28593.750000000015
2021-02-16,EBL,BUY,791.0,15,16728.750000000015
2021-02-16,EDBL,BUY,422.0,15,10398.750000000015
2021-02-16,HPPL,BUY,330.0,15,5448.750000000015
2021-02-16,HURJA,BUY,295.0,15,1023.7500000000146
2021-02-18,LBBL,SELL,276.0,61,17859.750000000015
2021-02-18,MEGA,BUY,334.0,15,12849.750000000015
2021-02-18,MFIL,BUY,518.0,15,5079.750000000015
2021-02-18,MLBL,BUY,323.0,15,234.75000000001455
2021-02-21,HURJA,SELL,332.0,15,5214.750000000015
2021-02-21,ICFC,BUY,323.0,15,369.75000000001455
2021-02-22,AKJCL,SELL,165.0,37,6474.750000000015
2021-02-22,BARUN,BUY,243.0,15,2829.7500000000146
2021-02-22,DHPL,BUY,121.0,15,1014.7500000000146
2021-02-22,KKHC,SELL,128.0,184,24566.750000000015
2021-02-22,KSBBL,BUY,315.0,15,19841.750000000015
2021-02-22,LBBL,BUY,265.0,15,15866.750000000015
2021-02-22,MEGA,BUY,310.0,15,11216.750000000015
2021-02-22,MFIL,BUY,510.0,15,3566.7500000000146
2021-02-22,NHPC,BUY,148.0,15,1346.7500000000146
2021-02-23,HPPL,SELL,377.0,15,7001.750000000015
2021-02-23,HURJA,BUY,319.0,15,2216.7500000000146
2021-02-23,JOSHI,BUY,120.0,15,416.75000000001455
2021-02-25,MLBL,SELL,304.0,57,17744.750000000015
2021-02-25,NBB,BUY,315.0,15,13019.750000000015
2021-02-25,NHPC,BUY,158.0,16,10491.750000000015
2021-02-25,NMB,BUY,446.0,15,3801.7500000000146
2021-02-25,PROFL,BUY,165.0,15,1326.7500000000146
2021-02-28,BARUN,SELL,221.0,15,4641.750000000015
2021-02-28,CZBIL,BUY,298.0,15,171.75000000001455
2021-02-28,DHPL,SELL,113.0,318,36105.750000000015
2021-02-28,EBL,BUY,781.0,15,24390.750000000015
2021-02-28,EDBL,BUY,418.0,15,18120.750000000015
2021-02-28,HPPL,BUY,340.0,15,13020.750000000015
2021-02-28,HURJA,BUY,298.0,15,8550.750000000015
2021-02-28,ICFC,BUY,302.0,15,4020.7500000000146
2021-02-28,JBBL,BUY,224.0,15,660.7500000000146
2021-02-28,LBBL,SELL,250.0,15,4410.750000000015
2021-02-28,MFIL,SELL,479.0,91,47999.750000000015
2021-02-28,MLBL,BUY,295.0,32,38559.750000000015
2021-02-28,NABIL,BUY,1296.0,15,19119.750000000015
2021-02-28,NBB,BUY,306.0,15,14529.750000000015
2021-02-28,NHPC,BUY,149.0,19,11698.750000000015
2021-02-28,NMB,BUY,430.0,15,5248.750000000015
2021-02-28,PROFL,BUY,162.0,15,2818.7500000000146
2021-03-01,AKJCL,BUY,146.0,15,628.7500000000146
2021-03-02,ADBL,SELL,435.0,81,35863.750000000015
2021-03-02,AHPC,BUY,321.0,22,28801.750000000015
2021-03-02,AKJCL,BUY,143.0,40,23081.750000000015
2021-03-02,BARUN,BUY,231.0,19,18692.750000000015
2021-03-02,CZBIL,BUY,300.0,15,14192.750000000015
2021-03-02,DHPL,BUY,113.0,25,11367.750000000015
2021-03-02,EDBL,BUY,409.0,15,5232.750000000015
2021-03-02,HPPL,SELL,392.0,15,11112.750000000015
2021-03-02,HURJA,BUY,290.0,15,6762.750000000015
2021-03-02,ICFC,BUY,296.0,15,2322.7500000000146
2021-03-02,JOSHI,BUY,115.0,15,597.7500000000146
2021-03-02,KSBBL,SELL,297.0,95,28812.750000000015
2021-03-02,LBBL,BUY,248.0,23,23108.750000000015
2021-03-02,MEGA,BUY,294.0,15,18698.750000000015
2021-03-02,MFIL,BUY,490.0,15,11348.750000000015
2021-03-02,MLBL,BUY,294.0,15,6938.750000000015
2021-03-02,NBB,BUY,301.0,15,2423.7500000000146
2021-03-02,NHPC,BUY,142.0,15,293.75000000001455
2021-03-03,BARUN,SELL,217.0,19,4416.750000000015
2021-03-03,DHPL,BUY,112.0,15,2736.7500000000146
2021-03-03,JOSHI,BUY,114.0,15,1026.7500000000146
2021-03-04,NHPC,SELL,163.0,250,41776.750000000015
2021-03-04,NICA,BUY,893.0,15,28381.750000000015
2021-03-04,NMB,BUY,429.0,15,21946.750000000015
2021-03-04,PCBL,BUY,446.0,15,15256.750000000015
2021-03-04,PROFL,BUY,161.0,18,12358.750000000015
2021-03-04,RLI,BUY,670.0,15,2308.7500000000146
2021-03-05,AKJCL,BUY,145.0,15,133.75000000001455
2021-03-07,EDBL,SELL,450.0,119,53683.750000000015
2021-03-07,HPPL,BUY,483.0,22,43057.750000000015
2021-03-07,HURJA,BUY,321.0,26,34711.750000000015
2021-03-07,ICFC,BUY,299.0,23,27834.750000000015
2021-03-07,JBBL,BUY,225.0,24,22434.750000000015
2021-03-07,JOSHI,BUY,118.0,38,17950.750000000015
2021-03-07,KKHC,BUY,116.0,30,14470.750000000015
2021-03-07,KSBBL,BUY,301.0,15,9955.750000000015
2021-03-07,LBBL,BUY,247.0,15,6250.750000000015
2021-03-07,MEGA,BUY,297.0,15,1795.7500000000146
2021-03-08,DHPL,BUY,115.0,15,70.75000000001455
2021-03-09,AHPC,SELL,370.0,22,8210.750000000015
2021-03-09,AKJCL,BUY,142.0,15,6080.750000000015
2021-03-09,BARUN,BUY,235.0,15,2555.7500000000146
2021-03-09,DHPL,BUY,113.0,15,860.7500000000146
2021-03-09,MFIL,SELL,464.0,15,7820.750000000015
2021-03-09,MLBL,BUY,298.0,15,3350.7500000000146
2021-03-09,NHPC,BUY,154.0,15,1040.7500000000146
2021-03-14,EBL,SELL,740.0,45,34340.750000000015
2021-03-14,EDBL,BUY,423.0,16,27572.750000000015
2021-03-14,HPPL,BUY,448.0,15,20852.750000000015
2021-03-14,HURJA,BUY,348.0,15,15632.750000000015
2021-03-14,ICFC,BUY,290.0,15,11282.750000000015
2021-03-14,JBBL,BUY,219.0,15,7997.750000000015
2021-03-14,JOSHI,BUY,117.0,15,6242.750000000015
2021-03-14,KKHC,BUY,116.0,15,4502.750000000015
2021-03-14,KSBBL,BUY,294.0,15,92.75000000001455
2021-03-14,NABIL,SELL,1215.0,15,18317.750000000015
2021-03-14,NBB,BUY,298.0,15,13847.750000000015
2021-03-14,NHPC,BUY,159.0,17,11144.750000000015
2021-03-14,NMB,BUY,412.0,15,4964.750000000015
2021-03-14,PROFL,BUY,155.0,15,2639.7500000000146
2021-03-14,RLI,SELL,631.0,32,22831.750000000015
2021-03-14,SANIMA,BUY,351.0,15,17566.750000000015
2021-03-15,ADBL,BUY,417.0,15,11311.750000000015
2021-03-15,AHPC,BUY,335.0,15,6286.750000000015
2021-03-15,AKJCL,BUY,157.0,15,3931.7500000000146
2021-03-15,BARUN,BUY,227.0,15,526.7500000000146
2021-03-15,HPPL,SELL,420.0,37,16066.750000000015
2021-03-15,HURJA,BUY,338.0,15,10996.750000000015
2021-03-15,ICFC,BUY,287.0,15,6691.750000000015
2021-03-15,JBBL,BUY,219.0,15,3406.7500000000146
2021-03-15,JOSHI,BUY,121.0,15,1591.7500000000146
2021-03-15,PCBL,SELL,422.0,58,26067.750000000015
2021-03-15,PROFL,BUY,154.0,33,20985.750000000015
2021-03-15,RLI,BUY,627.0,15,11580.750000000015
2021-03-15,SANIMA,BUY,350.0,15,6330.750000000015
2021-03-16,ADBL,BUY,417.0,15,75.75000000001455
2021-03-16,KKHC,SELL,128.0,45,5835.750000000015
2021-03-16,KSBBL,BUY,295.0,15,1410.7500000000146
2021-03-16,MLBL,SELL,266.0,62,17902.750000000015
2021-03-16,NBB,BUY,302.0,15,13372.750000000015
2021-03-16,NHPC,BUY,166.0,16,10716.750000000015
2021-03-16,NMB,BUY,409.0,15,4581.750000000015
2021-03-16,PROFL,BUY,154.0,15,2271.7500000000146
2021-03-17,DHPL,BUY,131.0,15,306.75000000001455
2021-03-17,JOSHI,SELL,146.0,328,48194.750000000015
2021-03-17,KKHC,BUY,140.0,68,38674.750000000015
2021-03-17,KSBBL,BUY,302.0,25,31124.750000000015
2021-03-17,LBBL,BUY,242.0,25,25074.750000000015
2021-03-17,MEGA,BUY,287.0,17,20195.750000000015
2021-03-17,MFIL,BUY,475.0,15,13070.750000000015
2021-03-17,MLBL,BUY,264.0,15,9110.750000000015
2021-03-17,NBB,BUY,318.0,15,4340.750000000015
2021-03-17,NHPC,BUY,163.0,15,1895.7500000000146
2021-03-18,AKJCL,SELL,148.0,100,16695.750000000015
2021-03-18,BARUN,BUY,228.0,15,13275.750000000015
2021-03-18,CZBIL,BUY,301.0,15,8760.750000000015
2021-03-18,DHPL,BUY,124.0,15,6900.750000000015
2021-03-18,EDBL,BUY,436.0,15,360.75000000001455
2021-03-18,KKHC,SELL,133.0,68,9404.750000000015
2021-03-18,KSBBL,BUY,310.0,15,4754.750000000015
2021-03-18,LBBL,BUY,248.0,15,1034.7500000000146
2021-03-21,AHPC,SELL,313.0,15,5729.750000000015
2021-03-21,AKJCL,BUY,145.0,15,3554.7500000000146
2021-03-21,BARUN,BUY,230.0,15,104.75000000001455
2021-03-21,NBB,SELL,355.0,155,55129.750000000015
2021-03-21,NHPC,BUY,162.0,68,44113.750000000015
2021-03-21,NICA,BUY,893.0,15,30718.750000000015
2021-03-21,NMB,BUY,428.0,15,24298.750000000015
2021-03-21,PCBL,BUY,435.0,15,17773.750000000015
2021-03-21,PROFL,BUY,159.0,22,14275.750000000015
2021-03-21,RLI,BUY,680.0,15,4075.7500000000146
2021-03-22,AHPC,BUY,260.0,15,175.75000000001455
2021-03-22,DHPL,SELL,116.0,100,11775.750000000015
2021-03-22,EBL,BUY,736.0,15,735.7500000000146
2021-03-25,AHPC,SELL,245.0,15,4410.750000000015
2021-03-25,AKJCL,BUY,150.0,15,2160.7500000000146
2021-03-25,DHPL,BUY,121.0,15,345.75000000001455
2021-04-04,EDBL,SELL,490.0,31,15535.750000000015
2021-04-04,HPPL,BUY,398.0,15,9565.750000000015
2021-04-04,HURJA,BUY,338.0,15,4495.750000000015
2021-04-04,JBBL,BUY,234.0,15,985.7500000000146
2021-04-04,RLI,SELL,756.0,30,23665.750000000015
2021-04-04,SANIMA,BUY,378.0,15,17995.750000000015
2021-04-05,ADBL,BUY,437.0,15,11440.750000000015
2021-04-05,AHPC,BUY,277.0,15,7285.750000000015
2021-04-05,AKJCL,BUY,150.0,15,5035.750000000015
2021-04-05,BARUN,BUY,241.0,15,1420.7500000000146
2021-04-06,NHPC,SELL,184.0,131,25524.750000000015
2021-04-06,NICA,BUY,918.0,15,11754.750000000015
2021-04-06,NMB,BUY,424.0,15,5394.750000000015
2021-04-06,PROFL,BUY,170.0,15,2844.7500000000146
2021-04-07,AKJCL,BUY,157.0,15,489.75000000001455
2021-04-07,JBBL,SELL,263.0,209,55456.750000000015
2021-04-07,JOSHI,BUY,138.0,80,44416.750000000015
2021-04-07,KKHC,BUY,138.0,64,35584.750000000015
2021-04-07,KSBBL,BUY,341.0,20,28764.750000000015
2021-04-07,LBBL,BUY,266.0,21,23178.750000000015
2021-04-07,MEGA,BUY,308.0,15,18558.750000000015
2021-04-07,MFIL,BUY,500.0,15,11058.750000000015
2021-04-07,MLBL,BUY,292.0,15,6678.750000000015
2021-04-07,NBB,BUY,367.0,15,1173.7500000000146
2021-04-08,ICFC,SELL,323.0,195,64158.750000000015
2021-04-08,JBBL,BUY,260.0,49,51418.750000000015
2021-04-08,JOSHI,BUY,138.0,74,41206.750000000015
2021-04-08,KKHC,BUY,134.0,61,33032.750000000015
2021-04-08,KSBBL,BUY,340.0,19,26572.750000000015
2021-04-08,LBBL,BUY,265.0,20,21272.750000000015
2021-04-08,MEGA,BUY,307.0,15,16667.750000000015
2021-04-08,MFIL,BUY,505.0,15,9092.750000000015
2021-04-08,MLBL,BUY,292.0,15,4712.750000000015
2021-04-08,NHPC,BUY,172.0,15,2132.7500000000146
2021-04-09,DHPL,BUY,126.0,15,242.75000000001455
2021-04-12,AHPC,SELL,261.0,15,4157.750000000015
2021-04-12,AKJCL,BUY,153.0,15,1862.7500000000146
2021-04-12,DHPL,BUY,123.0,15,17.750000000014552
2021-04-15,CZBIL,SELL,333.0,45,15002.750000000015
2021-04-15,DHPL,BUY,127.0,23,12081.750000000015
2021-04-15,EBL,SELL,814.0,15,24291.750000000015
2021-04-15,EDBL,BUY,569.0,15,15756.750000000015
2021-04-15,HPPL,BUY,398.0,15,9786.750000000015
2021-04-15,HURJA,BUY,333.0,15,4791.750000000015
2021-04-15,JBBL,BUY,282.0,15,561.7500000000146
2021-04-15,NHPC,SELL,162.0,15,2991.7500000000146
2021-04-15,PROFL,BUY,193.0,15,96.75000000001455
2021-04-19,EDBL,SELL,539.0,15,8181.750000000015
2021-04-19,HPPL,BUY,399.0,15,2196.7500000000146
2021-04-19,JBBL,SELL,265.0,64,19156.750000000015
2021-04-19,JOSHI,BUY,141.0,27,15349.750000000015
2021-04-19,KKHC,BUY,135.0,22,12379.750000000015
2021-04-19,KSBBL,BUY,362.0,15,6949.750000000015
2021-04-19,LBBL,BUY,282.0,15,2719.7500000000146
2021-04-19,NHPC,BUY,157.0,15,364.75000000001455
2021-04-20,HURJA,SELL,368.0,131,48572.750000000015
2021-04-20,ICFC,BUY,332.0,29,38944.750000000015
2021-04-20,JBBL,BUY,267.0,29,31201.750000000015
